order,q0,q1,p0,p1
0.0,0.0,0.0,1.4142135623699998,0.0
1.0,0.0007044666629728,-0.001414213122064,1.4142122414470002,-1.814523014053e-12
2.0,0.0014089419978919999,-0.00282842360226,1.4142082786779997,-1.4483694616986999e-11
3.0,0.002113423764885,-0.004242628798686,1.4142016741080001,-4.877227591498999e-11
4.0,0.0028179097235749998,-0.0056568260693840005,1.41419242782,-1.1534565661082999e-10
5.0,0.003522397633142,-0.007071012772302999,1.414180539931,-2.2476828220300004e-10
6.0,0.004226885252354,-0.008485186265299,1.4141660105879998,-3.8750194068089994e-10
7.0,0.004931370339628,-0.009899343906089,1.414148839977,-6.139039092653e-10
8.0,0.005635850653065001,-0.01131348305224,1.4141290283290002,-9.142249617352e-10
9.0,0.006340323950497,-0.012727601061189999,1.4141065759,-1.2986072369531998e-09
10.0,0.007044787989544001,-0.014141695290060003,1.414081482982,-1.7770819691555999e-09
11.0,0.007749240527648001,-0.015555763095909999,1.414053749911,-2.3595670806401002e-09
12.0,0.008453679322126002,-0.016969801835449997,1.414023377051,-3.055864637479e-09
13.0,0.009158102130223,-0.018383808865180002,1.4139903648060002,-3.875658168942e-09
14.0,0.009862506709154001,-0.01979778154124,1.413954713615,-4.828509851199e-09
15.0,0.01056689081614,-0.021211717219560004,1.4139164239570001,-5.923857556236001e-09
16.0,0.01127125220846,-0.022625613255720003,1.4138754963350002,-7.171011766288e-09
17.0,0.01197558864354,-0.024039467004860003,1.413831931302,-8.579152354958999e-09
18.0,0.01267989787895,-0.025453275821870004,1.413785729438,-1.0157325235395e-08
19.0,0.013384177672439998,-0.026867037061170003,1.4137368913579997,-1.1914438876589003e-08
20.0,0.01408842578204,-0.02828074807677,1.413685417719,-1.3859260688206999e-08
21.0,0.014792639966099998,-0.029694406222229998,1.413631309206,-1.6000413275313005e-08
22.0,0.015496817983299998,-0.03110800885069,1.413574566547,-1.8346370562923998e-08
23.0,0.01620095759273,-0.03252155331481,1.4135151905049999,-2.0905453792143994e-08
24.0,0.016905056553920002,-0.03393503696673,1.4134531818679998,-2.3685827388311004e-08
25.0,0.01760911262693,-0.03534845715802999,1.413388541473,-2.6695494701538e-08
26.0,0.01831312357232,-0.03676181123981,1.413321270185,-2.994229362120301e-08
27.0,0.01901708715127,-0.03817509656257,1.413251368902,-3.3433892065902e-08
28.0,0.019721001125609997,-0.03958831047625,1.413178838567,-3.7177783346299e-08
29.0,0.020424863257869998,-0.041001450330160005,1.413103680147,-4.1181281408193995e-08
30.0,0.021128671311290002,-0.042414513473020006,1.413025894649,-4.545151594859601e-08
31.0,0.02183242304997,-0.04382749725285,1.4129454831169999,-4.999542741503899e-08
32.0,0.022536116238779998,-0.04524039901707,1.412862446627,-5.4819761877706714e-08
33.0,0.023239748643459995,-0.04665321611239,1.412776786295,-5.993106578836531e-08
34.0,0.023943318030839995,-0.048065945884819994,1.41268850326,-6.5335680615258e-08
35.0,0.024646822168540004,-0.049478585679659993,1.412597598711,-7.103973736292402e-08
36.0,0.025350258825349997,-0.05089113284146,1.412504073857,-7.704915097376199e-08
37.0,0.026053625771119998,-0.05230358471401,1.4124079299530001,-8.336961461459e-08
38.0,0.02675692077683,-0.05371593864033001,1.4123091682809998,-9.000659384684001e-08
39.0,0.027460141614610006,-0.055128191962659986,1.412207790164,-9.696532068419001e-08
40.0,0.028163286057899993,-0.056540342022400006,1.41210379695,-1.0425078753744e-07
41.0,0.02886635188135,-0.05795238616019001,1.4119971900319999,-1.1186774104555999e-07
42.0,0.029569336860990003,-0.05936432171575,1.41188797083,-1.1982067579873998e-07
43.0,0.030272238774249997,-0.06077614602799001,1.411776140799,-1.2811382794880002e-07
44.0,0.030975055399929997,-0.06218785643489,1.4116617014280002,-1.3675116871267e-07
45.0,0.03167778451831,-0.06359945027361,1.4115446542399999,-1.4573639776930003e-07
46.0,0.032380423911310005,-0.06501092488035001,1.411425000795,-1.5507293654579e-07
47.0,0.0330829713623,-0.06642227759038,1.4113027426809999,-1.6476392140470002e-07
48.0,0.033785424656340005,-0.06783350573809,1.41117788152,-1.7481219671650002e-07
49.0,0.03448778158015,-0.06924460665684,1.411050418971,-1.8522030784428003e-07
50.0,0.03519003992221,-0.07065557767908001,1.410920356724,-1.9599049401113e-07
51.0,0.03589219747274,-0.07206641613626999,1.410787696506,-2.0712468107270997e-07
52.0,0.036594252023769994,-0.07347711935882,1.4106524400659999,-2.1862447418975003e-07
53.0,0.037296201369229995,-0.07488768467618,1.410514589198,-2.3049115040800006e-07
54.0,0.03799804330499,-0.07629810941679001,1.4103741457240002,-2.4272565112789997e-07
55.0,0.038699775628780006,-0.07770839090799,1.410231111496,-2.553285744787e-07
56.0,0.039401396140520004,-0.07911852647617,1.4100854884020002,-2.6830016761520004e-07
57.0,0.04010290264204001,-0.08052851344655,1.4099372783580002,-2.8164031890170004e-07
58.0,0.040804292937380006,-0.08193834914334999,1.409786483319,-2.953485500044001e-07
59.0,0.04150556483263999,-0.08334803088971,1.409633105266,-3.0942400789840005e-07
60.0,0.04220671613624,-0.08475755600762,1.4094771462169997,-3.23865456781e-07
61.0,0.04290774465876,-0.08616692181799998,1.409318608214,-3.38671269898e-07
62.0,0.043608648213150004,-0.08757612564064,1.4091574933369997,-3.5383942127380003e-07
63.0,0.04430942461467,-0.08898516479425,1.408993803695,-3.6936747736139993e-07
64.0,0.045010071681,-0.09039403659636,1.4088275414309999,-3.8525258860529996e-07
65.0,0.04571058723218,-0.09180273836334,1.408658708713,-4.01491480912e-07
66.0,0.046410969090840005,-0.09321126741049,1.4084873077500002,-4.1808044704549994e-07
67.0,0.04711121508212,-0.09461962105186,1.408313340768,-4.3501533793609996e-07
68.0,0.047811323033709996,-0.09602779660035,1.408136810038,-4.5229155391210006e-07
69.0,0.0485112907759,-0.09743579136775,1.4079577178509999,-4.699040358364e-07
70.0,0.049211116141700005,-0.0988436026646,1.407776066531,-4.878472561816e-07
71.0,0.04991079696685,-0.1002512278003,1.407591858434,-5.061152100191e-07
72.0,0.05061033108977,-0.10165866408289999,1.4074050959500002,-5.247014059259001e-07
73.0,0.05130971635176999,-0.10306590881960001,1.4072157814900002,-5.435988568243001e-07
74.0,0.05200895059691999,-0.10447295931579999,1.407023917497,-5.628000707467999e-07
75.0,0.052708031672270006,-0.10587981287649999,1.4068295064460001,-5.822970415156002e-07
76.0,0.053406957427729995,-0.1072864668048,1.406632550843,-6.020812393676001e-07
77.0,0.054105725716240005,-0.1086929184028,1.406433053218,-6.221436014848001e-07
78.0,0.05480433439372,-0.1100991649716,1.4062310161309999,-6.424745224881999e-07
79.0,0.055502781319179996,-0.1115052038106,1.4060264421729998,-6.63063844818e-07
80.0,0.056201064354739996,-0.11291103221839997,1.405819333966,-6.839008490962e-07
81.0,0.056899181365630006,-0.11431664749220001,1.405609694154,-7.049742443777e-07
82.0,0.05759713022027,-0.1157220469279,1.40539752541,-7.262721583602999e-07
83.0,0.05829490879035,-0.11712722782050003,1.405182830439,-7.477821275304998e-07
84.0,0.05899251495084999,-0.1185321874633,1.4049656119719998,-7.694910872372998e-07
85.0,0.059689946579919995,-0.11993692314849999,1.404745872771,-7.913853617024001e-07
86.0,0.060387201559249995,-0.12134143216739998,1.404523615615,-8.134506539799001e-07
87.0,0.061084277773749994,-0.1227457118095,1.404298843319,-8.356720358560999e-07
88.0,0.06178117311187999,-0.12414975936380002,1.4040715587280004,-8.580339376645999e-07
89.0,0.0624778854655,-0.1255535721174,1.403841764703,-8.805201380907e-07
90.0,0.06317441272997001,-0.1269571473562,1.4036094641410002,-9.031137538706003e-07
91.0,0.06387075280423,-0.1283604823658,1.4033746599599999,-9.257972294702001e-07
92.0,0.06456690359079,-0.12976357442890002,1.403137355108,-9.485523266986e-07
93.0,0.06526286299574001,-0.13116642082879998,1.4028975525529999,-9.713601142511002e-07
94.0,0.06595862892886,-0.13256901884650002,1.4026552552999998,-9.942009572397998e-07
95.0,0.06665419930359,-0.13397136576169996,1.402410466365,-1.0170545066200998e-06
96.0,0.06734957203709001,-0.1353734588536,1.4021631888000001,-1.0398996886350997e-06
97.0,0.06804474505037,-0.13677529539980002,1.4019134256800003,-1.0627146941525e-06
98.0,0.06873971626804001,-0.1381768726766,1.4016611801020002,-1.0854769679517004e-06
99.0,0.06943448361873998,-0.1395781879592,1.401406455189,-1.1081631980421e-06
100.0,0.07012904503482,-0.1409792385218,1.401149254093,-1.1307493048262999e-06
101.0,0.07082339845262,-0.1423800216372,1.4008895799819998,-1.1532104302991004e-06
102.0,0.07151754181231,-0.1437805345777,1.400627436055,-1.175520927231e-06
103.0,0.07221147305811,-0.145180774613,1.4003628255309999,-1.1976543481283e-06
104.0,0.07290519013812001,-0.146580739013,1.4000957516530002,-1.2195834344485999e-06
105.0,0.07359869100456999,-0.1479804250459,1.3998262176889997,-1.2412801054520998e-06
106.0,0.07429197361366999,-0.1493798299788,1.399554226932,-1.2627154472822996e-06
107.0,0.07498503592566,-0.15077895107819997,1.3992797826939998,-1.2838597018421997e-06
108.0,0.07567787590502,-0.15217778560849998,1.399002888311,-1.3046822557499e-06
109.0,0.07637049152021,-0.15357633083359998,1.3987235471400001,-1.3251516290988e-06
