time,rho00re,rho00im,rho01re,rho01im,rho02re,rho02im,rho03re,rho03im,rho10re,rho10im,rho11re,rho11im,rho12re,rho12im,rho13re,rho13im,rho20re,rho20im,rho21re,rho21im,rho22re,rho22im,rho23re,rho23im,rho30re,rho30im,rho31re,rho31im,rho32re,rho32im,rho33re,rho33im,totalpop
0.015,0.998930151828,0,-0.0175322134873,-0.000198420164657,0.0136919599817,0.000201907110785,0,0,-0.0175322134873,0.000198420164657,0.000594257351139,0,-0.000390531501625,-4.29921146395e-05,0,0,0.0136919599817,-0.000201907110785,-0.000390531501625,4.29921146395e-05,0.000475582950001,0,0,0,0,0,0,0,0,0,0,0,0.999999992129
0.016,0.998920609996,0,-0.0175945866411,-2.11162599849e-06,0.0137824123645,0.000253329441495,0,0,-0.0175945866411,2.11162599849e-06,0.000592447513849,0,-0.000357228867197,-9.30166799268e-05,0,0,0.0137824123645,-0.000253329441495,-0.000357228867197,9.30166799268e-05,0.000486934136541,0,0,0,0,0,0,0,0,0,0,0,0.999999991646
0.017,0.998917059485,0,-0.0174930701714,4.31225410196e-05,0.0138618640128,0.000207592170866,0,0,-0.0174930701714,-4.31225410196e-05,0.00058123358809,0,-0.000308995403985,-0.000118213047064,0,0,0.0138618640128,-0.000207592170866,-0.000308995403985,0.000118213047064,0.000501698089609,0,0,0,0,0,0,0,0,0,0,0,0.999999991163
0.018,0.998914189788,0,-0.0174801574072,3.01397831878e-06,0.0138626038481,0.000144965547749,0,0,-0.0174801574072,-3.01397831878e-06,0.000569674751651,0,-0.000258487635399,-0.000117217978619,0,0,0.0138626038481,-0.000144965547749,-0.000258487635399,0.000117217978619,0.00051612613929,0,0,0,0,0,0,0,0,0,0,0,0.999999990679
0.019,0.998911748073,0,-0.0174922747308,2.91556473522e-05,0.0138355489126,0.000130134064356,0,0,-0.0174922747308,-2.91556473522e-05,0.000559588557865,0,-0.000216651179442,-9.60417504255e-05,0,0,0.0138355489126,-0.000130134064356,-0.000216651179442,9.60417504255e-05,0.000528653564151,0,0,0,0,0,0,0,0,0,0,0,0.999999990195
0.02,0.998910696168,0,-0.0174275193363,3.66387618371e-05,0.013820481423,0.000133423183971,0,0,-0.0174275193363,-3.66387618371e-05,0.000550670175986,0,-0.000190277659545,-6.18320518925e-05,0,0,0.013820481423,-0.000133423183971,-0.000190277659545,6.18320518925e-05,0.000538623366999,0,0,0,0,0,0,0,0,0,0,0,0.999999989711
0.021,0.998907289376,0,-0.0173978068174,-6.85885533504e-05,0.0137822078553,0.000148981823759,0,0,-0.0173978068174,6.85885533504e-05,0.000547287769338,0,-0.000182611838373,-2.33200635769e-05,0,0,0.0137822078553,-0.000148981823759,-0.000182611838373,2.33200635769e-05,0.000545412083074,0,0,0,0,0,0,0,0,0,0,0,0.999999989228
0.022,0.998897700617,0,-0.0175167493471,-0.000155700629783,0.0137356163395,0.000246036438345,0,0,-0.0175167493471,0.000155700629783,0.000552193520778,0,-0.000193129092106,8.80383643533e-06,0,0,0.0137356163395,-0.000246036438345,-0.000193129092106,-8.80383643533e-06,0.000550094609064,0,0,0,0,0,0,0,0,0,0,0,0.999999988747
0.023,0.998884638013,0,-0.0176526659086,-7.84603704835e-05,0.0138000411835,0.000419689124093,0,0,-0.0176526659086,7.84603704835e-05,0.000559729636322,0,-0.000216703304085,2.78105499795e-05,0,0,0.0138000411835,-0.000419689124093,-0.000216703304085,-2.78105499795e-05,0.000555620619879,0,0,0,0,0,0,0,0,0,0,0,0.999999988269
0.024,0.998873831809,0,-0.0176297174194,5.38977718457e-05,0.0140208676167,0.000508403406646,0,0,-0.0176297174194,-5.38977718457e-05,0.000562925605876,0,-0.000245123930473,3.54823656385e-05,0,0,0.0140208676167,-0.000508403406646,-0.000245123930473,-3.54823656385e-05,0.000563230379357,0,0,0,0,0,0,0,0,0,0,0,0.999999987794
