time,rho00re,rho00im,rho01re,rho01im,rho02re,rho02im,rho03re,rho03im,rho10re,rho10im,rho11re,rho11im,rho12re,rho12im,rho13re,rho13im,rho20re,rho20im,rho21re,rho21im,rho22re,rho22im,rho23re,rho23im,rho30re,rho30im,rho31re,rho31im,rho32re,rho32im,rho33re,rho33im,totalpop
0,1,0,-0.00513269573008,0.00600579841038,-0.00361911690551,-0.00477695288122,-0.00101773032271,0.00170369984276,-0.00513269573008,-0.00600579841038,0,0,0,0,0,0,-0.00361911690551,0.00477695288122,0,0,0,0,0,0,-0.00101773032271,-0.00170369984276,0,0,0,0,0,0,1
0.001,0.998878123406,0,-0.00784594069591,-0.0097350727377,-0.00282327495267,0.00890977571133,-0.00088490685211,0.00153281491019,-0.00784594069591,0.0097350727377,0.000917899031107,0,-0.00108688770459,-0.000751823069619,-0.000516545459279,4.69859382115e-05,-0.00282327495267,-0.00890977571133,-0.00108688770459,0.000751823069619,0.000203977562468,0,4.74617068176e-05,-8.25010929198e-05,-0.00088490685211,-0.00153281491019,-0.000516545459279,-4.69859382115e-05,4.74617068176e-05,8.25010929198e-05,0,0,1
0.002,0.997516042227,0,-0.0217020199629,-0.00940446559954,0.0110721931641,0.0139969504351,5.86513626765e-05,0.000536993776324,-0.0217020199629,0.00940446559954,0.00134547712689,0,-0.00223230396041,-0.0010591152774,-0.00172508205768,0.000391808714207,0.0110721931641,-0.0139969504351,-0.00223230396041,0.0010591152774,0.00113848064583,0,0.000885218364613,0.000576310948604,5.86513626765e-05,-0.000536993776324,-0.00172508205768,-0.000391808714207,0.000885218364613,-0.000576310948604,0,0,1
0.003,0.996570715993,0,-0.0261081106376,0.0017180636783,0.0186476767581,0.0100087280945,-0.000545657192462,-0.000468723312585,-0.0261081106376,-0.0017180636783,0.00166268315494,0,-0.00272261461696,-0.00237309751447,-0.000789329511096,-0.000953763242308,0.0186476767581,-0.0100087280945,-0.00272261461696,0.00237309751447,0.00176660085213,0,0.000701804689047,0.000506724524228,-0.000545657192462,0.000468723312585,-0.000789329511096,0.000953763242308,0.000701804689047,-0.000506724524228,0,0,1
0.004,0.995848469123,0,-0.0170227181041,0.00951569870747,0.0199090182974,0.00139650089953,-0.00161611290679,-0.000729815459694,-0.0170227181041,-0.00951569870747,0.00176440062273,0,-0.00145765184433,-0.00211919546562,0.00143562499098,-0.00066796557005,0.0199090182974,-0.00139650089953,-0.00145765184433,0.00211919546562,0.00238713025428,0,0.000316062502587,0.0009712551814,-0.00161611290679,0.000729815459694,0.00143562499098,0.00066796557005,0.000316062502587,-0.0009712551814,0,0,1
0.005,0.996773186218,0,-0.00773934596435,0.00272222032269,0.0165113207244,-0.00469129063926,-0.00264034214208,-0.000550314001507,-0.00773934596435,-0.00272222032269,0.00114499843864,0,0.000651565377899,-0.00104867994906,0.000473168315688,-0.000254976300529,0.0165113207244,0.00469129063926,0.000651565377899,0.00104867994906,0.00208181534298,0,-0.000313484930742,0.000607884500453,-0.00264034214208,0.000550314001507,0.000473168315688,0.000254976300529,-0.000313484930742,-0.000607884500453,0,0,1
0.006,0.995920075322,0,-0.0112642402668,-0.00781881287705,0.00966976534323,-0.00620517525864,-0.00366634833444,-0.000122932491453,-0.0112642402668,0.00781881287705,0.00188304215922,0,0.000312132896949,0.000611404462171,0.00127519833994,0.000642302136055,0.00966976534323,0.00620517525864,0.000312132896949,-0.000611404462171,0.00219688251909,0,-0.00116784606098,0.000430762260066,-0.00366634833444,0.000122932491453,0.00127519833994,-0.000642302136055,-0.00116784606098,-0.000430762260066,0,0,1
0.007,0.995592402141,0,-0.0208705845766,-0.0053575843265,0.00478313794218,-0.00342968913641,-0.00427819094519,0.000485214482913,-0.0208705845766,0.0053575843265,0.00230874173575,0,-0.000119603067353,-0.00019794943246,7.96732258719e-05,0.00119086416109,0.00478313794218,0.00342968913641,-0.000119603067353,0.00019794943246,0.00209885612341,0,-0.000550028634293,-0.000167279743194,-0.00427819094519,-0.000485214482913,7.96732258719e-05,-0.00119086416109,-0.000550028634293,0.000167279743194,0,0,1
0.008,0.995594251547,0,-0.021580786305,0.005333703404,0.00397523575372,0.00196838792468,-0.00417213778033,0.0024032645551,-0.021580786305,-0.005333703404,0.00188817790832,0,-0.000360906999837,0.000443751753031,-3.70218245821e-05,0.000182474187586,0.00397523575372,-0.00196838792468,-0.000360906999837,-0.000443751753031,0.00251757054442,0,0.000768056755989,-0.000601545778199,-0.00417213778033,-0.0024032645551,-3.70218245821e-05,-0.000182474187586,0.000768056755989,0.000601545778199,0,0,1
0.009,0.99634541088,0,-0.0112445295666,0.00868777975483,0.0111289647941,0.00539128000331,-0.00340250059922,0.00431335086607,-0.0112445295666,-0.00868777975483,0.00146183564791,0,-0.00145598716721,0.000942879675061,-0.000635354131454,-4.55007336775e-05,0.0111289647941,-0.00539128000331,-0.00145598716721,-0.000942879675061,0.00219275347186,0,0.000643329403647,-0.000402043813016,-0.00340250059922,-0.00431335086607,-0.000635354131454,4.55007336775e-05,0.000643329403647,0.000402043813016,0,0,1
0.01,0.995944681294,0,-0.00619312088925,-0.00290613657097,0.0149205839393,0.00125488083998,-0.00195107189339,0.00602343044247,-0.00619312088925,0.00290613657097,0.00166372049496,0,-0.000912768670717,0.00117607923443,-0.000666443080862,-0.000138837159778,0.0149205839393,-0.00125488083998,-0.000912768670717,-0.00117607923443,0.0023915982115,0,0.000790627437312,-0.000434185793615,-0.00195107189339,-0.00602343044247,-0.000666443080862,0.000138837159778,0.000790627437312,0.000434185793615,0,0,1
0.011,0.996586324609,0,-0.0185934284481,-0.00794789575227,0.0127303248145,-0.00482800407429,3.35031490944e-05,0.00692380645619,-0.0185934284481,0.00794789575227,0.00103444708803,0,-0.000994219567786,0.00122794683264,-0.000270701591358,8.38852737842e-05,0.0127303248145,0.00482800407429,-0.000994219567786,-0.00122794683264,0.00237922830247,0,0.000630705198889,-0.000229490322356,3.35031490944e-05,-0.00692380645619,-0.000270701591358,-8.38852737842e-05,0.000630705198889,0.000229490322356,0,0,1
0.012,0.996277915633,0,-0.02322584711,0.00234582992048,0.00854042409204,-0.00432962569752,0.00222608090563,0.00753174140921,-0.02322584711,-0.00234582992048,0.0017576509512,0,-0.00138392307921,0.000528357033437,-0.000540705840323,-0.000350470228308,0.00854042409204,0.00432962569752,-0.00138392307921,-0.000528357033437,0.00196443341605,0,0.000673382695532,3.68728823509e-05,0.00222608090563,-0.00753174140921,-0.000540705840323,0.000350470228308,0.000673382695532,-3.68728823509e-05,0,0,1
0.013,0.997625193598,0,-0.0160714480802,0.00518650446229,0.00637537021472,8.42768091725e-05,0.0044943456724,0.00700324388876,-0.0160714480802,-0.00518650446229,0.000929272070212,0,-0.00206498465871,0.000279943092732,0.000534936120933,7.58705844819e-05,0.00637537021472,-8.42768091725e-05,-0.00206498465871,-0.000279943092732,0.00144553433144,0,0.000578282756411,0.000245724514932,0.0044943456724,-0.00700324388876,0.000534936120933,-7.58705844819e-05,0.000578282756411,-0.000245724514932,0,0,1
0.014,0.997629110401,0,-0.0114570065702,-0.000587477273037,0.0102424613016,0.00288198591406,0.00604750069398,0.00572152217919,-0.0114570065702,0.000587477273037,0.00123698587774,0,-0.00282502233524,0.00037422456553,-0.000232851661103,0.000333591978095,0.0102424613016,-0.00288198591406,-0.00282502233524,-0.00037422456553,0.00113390372127,0,-0.00038726235591,-4.98582622188e-05,0.00604750069398,-0.00572152217919,-0.000232851661103,-0.000333591978095,-0.00038726235591,4.98582622188e-05,0,0,1
0.015,0.99753035604,0,-0.0201256578263,-0.00491420337301,0.0135565595098,0.00383175326711,0.00642709187898,0.00449284117976,-0.0201256578263,0.00491420337301,0.00113192014818,0,-0.00290961731759,-0.000314081604066,-0.000166495128174,-0.000703312099739,0.0135565595098,-0.00383175326711,-0.00290961731759,0.000314081604066,0.00133772381148,0,0.000354922108522,-0.000586711561999,0.00642709187898,-0.00449284117976,-0.000166495128174,0.000703312099739,0.000354922108522,0.000586711561999,0,0,1
0.016,0.997119637897,0,-0.0213749719357,0.00387420144061,0.0168063057983,-0.000734493003314,0.00641646590261,0.00294605521822,-0.0213749719357,-0.00387420144061,0.00123444090114,0,-0.00237392839264,-0.00109217849528,-0.000106791400888,0.000172202176754,0.0168063057983,0.000734493003314,-0.00237392839264,0.00109217849528,0.00164592120152,0,0.000264451698936,7.83260028054e-05,0.00641646590261,-0.00294605521822,-0.000106791400888,-0.000172202176754,0.000264451698936,-7.83260028054e-05,0,0,1
0.017,0.997319863932,0,-0.0132882060944,0.00474113062447,0.0147722808055,-0.00612636754863,0.00748942488936,0.00159709276988,-0.0132882060944,-0.00474113062447,0.00154623234718,0,-0.00191536380489,-0.000760384835147,-0.000122170038245,0.000374429412442,0.0147722808055,0.00612636754863,-0.00191536380489,0.000760384835147,0.00113390372127,0,-6.07089651287e-06,0.000285795776221,0.00748942488936,-0.00159709276988,-0.000122170038245,-0.000374429412442,-6.07089651287e-06,-0.000285795776221,0,0,1
0.018,0.997417622146,0,-0.0128886496792,-0.00378840176738,0.0100584094219,-0.00754858009826,0.00745729068279,-0.000351815883944,-0.0128886496792,0.00378840176738,0.00092965602727,0,-0.000757968611677,-0.00115133907811,0.000188137702573,0.000519523174112,0.0100584094219,0.00754858009826,-0.000757968611677,0.00115133907811,0.00165272182626,0,-0.000232643485547,-0.000755254286151,0.00745729068279,0.000351815883944,0.000188137702573,-0.000519523174112,-0.000232643485547,0.000755254286151,0,0,1
0.019,0.996173733195,0,-0.019692901217,-0.00515893675156,0.00157710519452,-0.00449569896224,0.00622556898315,-0.00111937980043,-0.019692901217,0.00515893675156,0.00186142709411,0,-0.00103475745216,-0.000546528182486,-0.000390386990345,0.000204939819101,0.00157710519452,0.00449569896224,-0.00103475745216,0.000546528182486,0.00196483971044,0,0.000380082894464,-0.000961195476369,0.00622556898315,0.00111937980043,-0.000390386990345,-0.000204939819101,0.000380082894464,0.000961195476369,0,0,1
0.02,0.996473029046,0,-0.0219323078014,0.0020950726523,0.00140293074019,0.0038665502685,0.00619009790964,-0.00212163538002,-0.0219323078014,-0.0020950726523,0.00155601659751,0,-0.000275601107914,-9.35527632586e-05,-0.00100025539152,0.000847670903912,0.00140293074019,-0.0038665502685,-0.000275601107914,9.35527632586e-05,0.00197095435685,0,0.000780786166065,-0.00104074795395,0.00619009790964,0.00212163538002,-0.00100025539152,-0.000847670903912,0.000780786166065,0.00104074795395,0,0,1
0.021,0.997193930576,0,-0.0157916573103,0.00826097594689,0.00764279204628,0.01018902125,0.00511892256372,-0.0015908894163,-0.0157916573103,-0.00826097594689,0.00124714196633,0,0.000127083008593,-0.000170452323143,-0.000697330195941,8.32624980176e-05,0.00764279204628,-0.01018902125,0.000127083008593,0.000170452323143,0.00155892745791,0,3.08399989113e-05,0.000181133838238,0.00511892256372,0.0015908894163,-0.000697330195941,-8.32624980176e-05,3.08399989113e-05,-0.000181133838238,0,0,1
0.022,0.996882469084,0,-0.00749309364976,-0.00126001994112,0.0146933687672,0.00850039452628,0.00437093104424,-0.00178566463203,-0.00749309364976,0.00126001994112,0.00103917697184,0,-0.000306147197063,-0.000215521139727,-0.000712280612646,-0.000296311536036,0.0146933687672,-0.00850039452628,-0.000306147197063,0.000215521139727,0.00207835394368,0,-0.000355497219026,-0.000247106210134,0.00437093104424,0.00178566463203,-0.000712280612646,0.000296311536036,-0.000355497219026,0.000247106210134,0,0,1
