order,q0,q1,q2,q3,p0,p1,p2,p3
0,0.00872093641982,-0.0047308955266,0.00794882356538,-0.000179407066074,-0.0171523812233,-0.000289334028591,-0.00698801119052,0.00829382327432
1,0.0161746939173,-0.00428163559309,0.00661931325293,-0.00339201056069,-0.0105382288124,0.00215154090136,-0.00889300640432,0.00772699773781
2,0.0200613437016,-0.00261307860049,0.00469542168369,-0.00615758469376,-0.000350981916591,0.00355264111969,-0.0105858722787,0.00594885642812
3,0.0178523082724,-0.000506965697583,0.00201251774763,-0.0080375274629,0.011453364255,0.00371499967984,-0.0118865601605,0.00323745452016
4,0.00861459660559,0.00139969354486,-0.00141204508333,-0.00875132446447,0.0206135407097,0.00290872750771,-0.0124620440003,1.82138166071e-05
5,-0.00501649814508,0.00269386816839,-0.0052544132925,-0.00821705086848,0.0226110201532,0.00159122952091,-0.0119443888803,-0.00322282706372
6,-0.0175186648294,0.00315834817514,-0.00890283887877,-0.00654513229135,0.0158281332379,0.000218757190082,-0.0101009351521,-0.00602856398736
7,-0.0236210133959,0.00278371192963,-0.0116248375665,-0.00399457072986,0.00294742707115,-0.000836882085738,-0.00697668061235,-0.00803897085378
8,-0.0213297856746,0.00179634197322,-0.0127997078796,-0.00091201009549,-0.0106926006672,-0.00135149434492,-0.00294228487058,-0.00902511855079
9,-0.0124620404023,0.00058448119548,-0.0121077818525,0.00232488037713,-0.0203013861429,-0.00130867450768,0.00136976350035,-0.00889145447086
10,-0.000703535060309,-0.00048704250969,-0.009614246132,0.0053467036018,-0.0237263651423,-0.000879213627624,0.00520989264241,-0.00765999622649
11,0.0106695385283,-0.00121712170907,-0.00574920766664,0.00781400546701,-0.0211780686375,-0.000287290170916,0.00788577189797,-0.0054524676227
12,0.0194794830252,-0.00152819219564,-0.00121478032034,0.00943086381652,-0.0137500663633,0.000320552990973,0.00891813337763,-0.00248005058022
13,0.0239296145826,-0.00133298636681,0.0031544064839,0.00996238475215,-0.00275092137583,0.000852152132586,0.00814249090881,0.000960011937821
14,0.0222669862984,-0.000545917764438,0.00655713460549,0.00926295552528,0.00959668703376,0.00112137776847,0.00573936759679,0.00449032267731
15,0.0139527253031,0.000680659440388,0.00839066799997,0.00731286358415,0.0195680901073,0.000810046471873,0.00219684188502,0.00767376443245
16,0.0012779026358,0.00175186104319,0.00837873832244,0.0042522938793,0.023155658451,-0.000279541083704,-0.00177853623426,0.0100564543723
17,-0.0108072824291,0.00182423821834,0.00662944430125,0.00039751388852,0.0187320600282,-0.00183705043926,-0.00539129062395,0.0112325765257
18,-0.0173769254694,0.000429073459492,0.00360451971783,-0.00377408476007,0.00868773913027,-0.00294591552307,-0.00792086994116,0.0109207963999
19,-0.0166714970528,-0.00193911865867,2.68731686847e-06,-0.00767619346425,-0.00192010641399,-0.00255205744699,-0.00889452814726,0.00903488704461
20,-0.0108349419421,-0.00386334615402,-0.00341553581132,-0.0106988722883,-0.00874975959202,-0.000279892513054,-0.00821105178718,0.0057291497606
21,-0.00372424291494,-0.00382777643563,-0.00601280163331,-0.0123126514296,-0.0105535959516,0.003028401614,-0.00615174215014,0.00140318920618
22,0.00185775175707,-0.00131285166203,-0.00741202938325,-0.0121707413344,-0.00873391659459,0.00558091294449,-0.00326209743595,-0.00334052189672
23,0.00504286183163,0.00265438264453,-0.00754116806656,-0.0101877397456,-0.00526837114201,0.00567108927402,-0.000159628617473,-0.00778218601015
24,0.00592843506353,0.00597363140117,-0.00657727367708,-0.00657737893368,-0.001435637302,0.0028267077458,0.00263800639091,-0.011199931903
25,0.00466910521189,0.00671438182579,-0.00482701701352,-0.00183926091594,0.00189676139969,-0.00174400967727,0.00479505050452,-0.0129952781692
26,0.001708433309,0.00430682584994,-0.00261026351259,0.0033067572009,0.00373856113226,-0.00577315954908,0.00614460260945,-0.0128068516331
27,-0.0017301517688,-0.000106546210596,-0.000203859570647,0.00803119052661,0.00336371914266,-0.00723567329398,0.0066290426317,-0.0105911808542
28,-0.00406838218713,-0.00435278641945,0.00214528399186,0.0115352342424,0.00106183816922,-0.0054839192389,0.00625430995803,-0.00665288912738
29,-0.00440527472524,-0.00645979900065,0.00418262590441,0.0131983088152,-0.00193908986906,-0.00152425175413,0.00509015934359,-0.00161278918383
30,-0.00294638852321,-0.00566623112594,0.00564421945253,0.0127049271703,-0.00438574097483,0.00264665043558,0.00330364616951,0.00368803319955
31,-0.000489103096004,-0.00267166564656,0.00631452054383,0.0101215852954,-0.00568711855227,0.00515085124776,0.00118140948854,0.00833676072483
32,0.00223925767205,0.000892420797206,0.00611199308329,0.00590028288302,-0.00582876200193,0.00511603032457,-0.000901772845117,0.0115237648959
33,0.00478223242291,0.00335855179419,0.00514189837108,0.000799906503168,-0.00499688665497,0.00293015454313,-0.00257403439271,0.0127060922053
34,0.00690795638359,0.00377865905781,0.00367451450826,-0.00426228418063,-0.00338236180685,-0.000120846759392,-0.00357550865122,0.0117192833223
35,0.00854423991562,0.00224458202313,0.00205647699566,-0.00839609438007,-0.00103987611681,-0.0025343746687,-0.0038263854601,0.00880768675494
36,0.00950136830658,-0.000251973203276,0.000602828443538,-0.0109157442877,0.00221266210497,-0.0032668541647,-0.00342504846445,0.00456479102499
37,0.00909150029748,-0.00231505490701,-0.000480690080974,-0.0114661730432,0.00646425689517,-0.00217626093795,-0.00259340760852,-0.000199892396467
38,0.00629756264495,-0.00283639095695,-0.0011240872164,-0.0100710158196,0.0109988555837,-6.86253112528e-05,-0.00160349410333,-0.00463133158049
39,0.000718316582755,-0.00160434304284,-0.00137528992431,-0.00709841387446,0.0140294246731,0.00173864520843,-0.000704929016952,-0.0079936639217
40,-0.00648368550922,0.000551775458586,-0.00135391673927,-0.00316304415734,0.0135036473958,0.00219181769252,-6.14716671557e-05,-0.00979312797902
41,-0.012623978119,0.00228149530495,-0.00119211182111,0.00100457158949,0.00857314655599,0.00115439611687,0.000286344711245,-0.00984065758713
42,-0.0147807150083,0.00260469618995,-0.000984636392916,0.00469053075615,0.000653738796073,-0.000560352558257,0.000408880012432,-0.00825441219618
43,-0.0116733862689,0.00151230889177,-0.00077616108063,0.00731035927344,-0.00684370745401,-0.00183169222805,0.000425411186775,-0.00541484514643
44,-0.00490762995326,-0.000178958336863,-0.000591683803977,0.00849213982759,-0.0103036195596,-0.00201533992753,0.000434335596701,-0.00188755855035
45,0.00157515715219,-0.00151385202058,-0.000471236012823,0.00812623408158,-0.00830644702158,-0.00122775679882,0.000487379561334,0.00167453173618
46,0.00390303846894,-0.00198226224692,-0.000456826653616,0.00637760056763,-0.00289927435994,-1.48920608211e-05,0.000613996021258,0.00464117319104
47,0.00100211752365,-0.00158740224468,-0.000531661883074,0.00365462609064,0.0015150628341,0.00112671715402,0.000848378227782,0.00651561600732
48,-0.0044473526243,-0.000575602949402,-0.000577830943187,0.000531284956228,0.00113744952496,0.00190362263577,0.00121521578164,0.00702772410567
49,-0.007702044974,0.000740138494958,-0.000416430716774,-0.00236935977368,-0.00450705334249,0.00207959980216,0.00168702131237,0.00618560717378
50,-0.00516249563198,0.00192439152165,8.33739504433e-05,-0.00450663079149,-0.0120794365903,0.00141417911496,0.00216516930294,0.00426663717215
51,0.00315749750579,0.00238719265387,0.000910623399622,-0.00553429277957,-0.0165236964283,-0.0001098343595,0.00251297858326,0.00174508671318
52,0.0135709492538,0.00162991014168,0.00190810403853,-0.00536142115745,-0.0142533753093,-0.00200421983087,0.00261489641396,-0.000824712887542
53,0.0209569922992,-0.000332106069175,0.0028549036827,-0.00414706737174,-0.00525025043065,-0.00332769857139,0.00241346402127,-0.0029350608812
54,0.0216097316953,-0.00274250419006,0.00356871371398,-0.00223678074302,0.00713428933267,-0.00317899545659,0.00190128281676,-0.00422534542258
55,0.014871997581,-0.00435738128202,0.00395712360904,-6.71645147999e-05,0.0181356340161,-0.00132921071259,0.00108457699331,-0.00453334125934
56,0.00298066146587,-0.00411601724813,0.00399254257514,0.00193023526779,0.0237511612071,0.00147469303297,-4.39125796804e-05,-0.0038946409556
57,-0.010156953242,-0.00183759407384,0.0036392627887,0.00340252578766,0.022041285148,0.00381229563314,-0.00148807014046,-0.00250427538992
58,-0.0203551613985,0.00152389273636,0.00279444593096,0.00411791748849,0.0135013227726,0.0043737109103,-0.00317773752458,-0.000661117868398
59,-0.0244061157027,0.00429675044194,0.00130319159972,0.0039811631103,0.000829165900446,0.00276346196705,-0.00487708115974,0.00128801211277
60,-0.0211421076841,0.00499633592764,-0.000933295364677,0.00303183214438,-0.0118908442847,-0.000184425039967,-0.00614282049323,0.00299687569873
61,-0.0119322253923,0.00320796376585,-0.00380219587414,0.00143304843729,-0.0206110712544,-0.00281170827295,-0.00639920740923,0.00416173359093
62,-0.000182136420537,-8.450939246e-05,-0.00687123475199,-0.000548139495283,-0.0228823067047,-0.00356917725194,-0.00513747339923,0.00456012203165
63,0.0100692756846,-0.00296668378228,-0.00941853153588,-0.00257259650628,-0.018783252503,-0.00196560128935,-0.00216539746187,0.00408641321127
64,0.015819789101,-0.00366437574308,-0.010624851889,-0.00427667459144,-0.0107312111028,0.00102923624482,0.00221737388517,0.00277773836375
65,0.0162509554881,-0.00165343952429,-0.00986183152003,-0.00533292968799,-0.00224511954971,0.00344166172444,0.00722482098021,0.000819569426002
66,0.012783078388,0.00187511709237,-0.0069445875581,-0.00551256322783,0.00373871959174,0.00345876049199,0.011794269283,-0.00147778301227
67,0.00802460946025,0.00460465600075,-0.00222161146479,-0.00473250093987,0.00609883848213,0.000654991789737,0.0149140178651,-0.00373149522431
68,0.00428349768809,0.00450851940379,0.00354065177812,-0.00307252175086,0.00564770897162,-0.00354932928535,0.0159124827791,-0.00555543467565
69,0.00255128153111,0.00122711832152,0.00940208060505,-0.000758473228738,0.00423195281511,-0.00663665156107,0.0145785922541,-0.00662715415171
70,0.00240542155038,-0.00356497960005,0.0144779154368,0.00187949890417,0.00353792702129,-0.00656797151635,0.0110982706586,-0.00673603069074
71,0.00259953463381,-0.0071449186374,0.0180511507061,0.00445778208558,0.00429182930106,-0.00314457531088,0.00591063693193,-0.00580667462265
72,0.00185408081229,-0.00746091161471,0.0195837704227,0.00658647511496,0.00607189802397,0.00181259407789,-0.000388930609357,-0.00390330101738
73,-0.00047083619676,-0.00441895472409,0.0187246383444,0.00791021774882,0.00761206443006,0.00561487400995,-0.00705783717536,-0.0012250298093
74,-0.00396117295697,0.000122889922669,0.0153880703688,0.00814852693043,0.00744645224445,0.0063982498659,-0.0131958320705,0.00190317372388
75,-0.00716606615183,0.00360573745198,0.00987905578285,0.00714172922166,0.00475786074695,0.00421438074661,-0.0178187107224,0.00504916182542
76,-0.00824867546583,0.00439097242505,0.00296187517342,0.00489972489643,9.79429564732e-05,0.000835698487274,-0.0200577752408,0.00771331569114
77,-0.00614306817812,0.00268505055985,-0.00422482332034,0.00163916556343,-0.00458512872,-0.00151988743148,-0.0194245661135,0.00939705417207
78,-0.00150424261049,0.000218396277175,-0.0104204346321,-0.00221103365056,-0.00693171779986,-0.00165043631721,-0.0160148563545,0.0096954771207
79,0.00340170672207,-0.00104213027667,-0.014577595488,-0.00605119448635,-0.0056809957691,-5.8792346477e-05,-0.0105363614586,0.00839557100981
80,0.0059854387186,-0.000257574879569,-0.0161421242046,-0.00920175521196,-0.00160013609983,0.00154357474195,-0.0041229789132,0.00555327429312
81,0.00490942175208,0.00175485811095,-0.0151601260482,-0.0110302790909,0.00291450667622,0.00153884429379,0.00199682960926,0.0015236123477
82,0.000840023309643,0.00316469938231,-0.0121773636936,-0.0110883652703,0.0052382826754,-0.00039503706779,0.00683583803524,-0.00307260440669
83,-0.00398166781559,0.00248182216468,-0.00799718033537,-0.00922547432084,0.00391961152581,-0.00300561848888,0.0098488365343,-0.00744691764069
84,-0.00689076455181,-0.00031152485854,-0.00342562670048,-0.00564843311573,-0.000661632615145,-0.00430197290836,0.0109410529341,-0.01079018333
85,-0.00602224851667,-0.00362001837296,0.000883961859549,-0.000906357934985,-0.00650641103082,-0.00295116851881,0.0103346838092,-0.0124372777154
86,-0.00115071832864,-0.00519906994891,0.00445583329487,0.00420099695794,-0.0108663606423,0.000683611833725,0.00840442956868,-0.0120108234445
87,0.00614985148329,-0.00363688004324,0.00694056966283,0.00877305882601,-0.0114233495642,0.00456065432644,0.00557549136465,-0.00950867178431
88,0.0131155166368,0.000563500681457,0.00807715526481,0.0119825935755,-0.00729045651209,0.00609990951222,0.00230883195913,-0.00531409013034
89,0.016886224503,0.00503663754169,0.0077291139904,0.0132353112279,0.000614341387824,0.00383486638217,-0.000871859142573,-0.000127441946518
90,0.015567926951,0.00685942271551,0.0059884365889,0.0122819510643,0.00989783486163,-0.00142358261161,-0.00339021570962,0.00516355888752
91,0.00892446740486,0.00443529064516,0.00327480953528,0.00926297422446,0.0174584246888,-0.00676289253294,-0.00472165865812,0.00964635531994
92,-0.00138471556816,-0.001236323458,0.000329316201096,0.00468121813601,0.0204580352737,-0.00879783204427,-0.00458038665202,0.0125465931241
93,-0.0121332709093,-0.00689747542445,-0.00196187545211,-0.000688488546412,0.0173731703633,-0.00586536247705,-0.00309565334793,0.013362731503
94,-0.0195636070754,-0.00897575606361,-0.00287962294507,-0.00593402503353,0.00880984282581,0.000678535307494,-0.00084864870514,0.0119512409365
95,-0.0209161357374,-0.00594637698044,-0.00217676659301,-0.0101616662148,-0.00244942325424,0.00709435409117,0.00130390995208,0.00855137143176
96,-0.0157274527178,0.000529537830732,-0.000198657697768,-0.0126491948454,-0.0124545558066,0.00956465679398,0.00256526578785,0.0037473845028
97,-0.00609698082666,0.00657662517199,0.00227066748638,-0.0129742746902,-0.0177696551189,0.00666151920115,0.00252353649842,-0.00162727187977
98,0.00429768224016,0.00858802316232,0.00436411066564,-0.0110967607459,-0.0169220226085,0.000268673856408,0.0012859862593,-0.00663321191914
99,0.0118503693274,0.00552374287643,0.00549213825766,-0.00737540516756,-0.0108482157059,-0.00568139631926,-0.000645362511462,-0.0103963974121
100,0.0144278438565,-0.000528310953114,0.00551611916971,-0.00250673496914,-0.00226449575802,-0.00775485571041,-0.00266623750366,-0.0122770797621
101,0.0119932501435,-0.00582769879486,0.0046707326384,0.0026102272467,0.00554221863961,-0.00510083576908,-0.00434615232711,-0.011998134737
102,0.00642699390894,-0.00739979559248,0.00332911601228,0.00705777019038,0.0100095501438,0.000248139843021,-0.00553549537101,-0.00969729107421
103,0.000633981208604,-0.00476943073534,0.00178206729565,0.0100872735223,0.0103456387354,0.00489322226864,-0.0062790655187,-0.00588546211361
104,-0.00290761065741,1.73492416478e-05,0.000159811912179,0.0112616203069,0.00786921569466,0.00626853681957,-0.00664069261698,-0.00132150196762
105,-0.00355607110111,0.0039178659425,-0.00149251362424,0.0105167902925,0.00518698267501,0.0040916683616,-0.00658631099977,0.00316001800259
106,-0.00288694415363,0.00486014908525,-0.00307941079326,0.0081342051218,0.00440425347293,0.000262935861786,-0.0060091869321,0.00681895596505
107,-0.00348497991227,0.00290166690359,-0.00438151599929,0.00464350783294,0.0055017739266,-0.00256167359852,-0.00486522952574,0.0091349652026
108,-0.00680138754805,-5.38270371195e-05,-0.00510964344923,0.000692606043283,0.00623059118293,-0.00272778292438,-0.00330303432965,0.00986609600316
109,-0.011719733428,-0.00168482091592,-0.00505715659223,-0.00307720642473,0.00383957302232,-0.000562862332708,-0.00167796743432,0.00904278985055
110,-0.0151026893781,-0.000853368062427,-0.00425075610183,-0.00612506431273,-0.00264109046423,0.0019854559078,-0.000420781470979,0.00691697919818
111,-0.0139299534125,0.00165298633146,-0.00299247899489,-0.00806474398053,-0.0114122733085,0.00276941855104,0.00017048603743,0.0038923845159
112,-0.00729586677024,0.0037055138842,-0.0017466738671,-0.00868655514384,-0.0188932899436,0.000969868962351,9.22307307974e-05,0.000457099236015
