order,q0,q1,q2,q3,p0,p1,p2,p3
0,0,0,0,0,1.41421356237,0,0,0
1,-0.837514343321,0.0290285023219,-0.0147351081323,0,1.12048826108,-0.00101527606011,-0.00298947453045,0
2,-1.29895164865,0.0446333646113,-0.0254230582777,0,0.383636022523,-0.00328071070766,-0.0102731084235,0
3,-1.2048913971,0.0403020030791,-0.0296718615215,0,-0.444915783062,-0.00488853510465,-0.017731274446,0
4,-0.651990102725,0.0194846139103,-0.0275332453591,0,-0.999435133069,-0.00391303872035,-0.0210497703954,0
5,0.063676797095,-0.00674827912158,-0.0210987227057,0,-1.08410492338,0.000328655116523,-0.0179537669482,0
6,0.618857774317,-0.0258371841952,-0.0132752978174,0,-0.744714751089,0.00655672446494,-0.00921666298894,0
7,0.821542206922,-0.0300690007651,-0.00649288649719,0,-0.204838294449,0.0118777068037,0.00196384893131,0
8,0.673088409257,-0.0197788352404,-0.00196848883525,0,0.27432387982,0.0131883200984,0.0116867194292,0
9,0.322526882344,-0.00214101342454,0.000296665492793,0,0.521005146692,0.00895171793113,0.0171356467416,0
10,-0.0375560957287,0.0132623263195,0.00103086877534,0,0.505854902412,0.000316435322435,0.0175582897705,0
11,-0.266764915272,0.0194289539009,0.00111480590911,0,0.314735301196,-0.00917557892636,0.014139400795,0
12,-0.320988135182,0.014930553049,0.00119947371316,0,0.0775599608884,-0.0152550988589,0.00906881291245,0
13,-0.240251894443,0.00373908396856,0.00158724141152,0,-0.100178570776,-0.0151018884332,0.00441272624925,0
14,-0.104049188538,-0.00755197002937,0.00228714241686,0,-0.172952061189,-0.00882792918201,0.00133797872158,0
15,0.0150415262961,-0.0133594709497,0.00312422961085,0,-0.153029076333,0.000565109910263,-6.04424760511e-05,0
16,0.0785070806254,-0.0116883341667,0.00383748652599,0,-0.0845594192969,0.00872896178725,-0.000415492480978,0
17,0.0848012225107,-0.00454641340563,0.00416278337189,0,-0.0135845592289,0.0121564334881,-0.000526207257377,0
18,0.055534108274,0.00368193952829,0.0039163665958,0,0.031488094961,0.00983490602583,-0.000898425401767,0
19,0.0172786573825,0.00878438997732,0.00307219942327,0,0.0443141738546,0.00353354507518,-0.00157673244596,0
20,-0.0112614144819,0.00877664346789,0.00179836514883,0,0.0339247509332,-0.00332483997412,-0.0022674873228,0
21,-0.0233204544741,0.00451576824489,0.000417769871415,0,0.0144824959402,-0.00750275267958,-0.0026105618732,0
22,-0.0214885527584,-0.00120093821252,-0.000706159203147,0,-0.00254906973188,-0.00748462693309,-0.00242051164241,0
23,-0.0125847283802,-0.00534731910513,-0.00131104468482,0,-0.0116925258358,-0.00396540874347,-0.0017788193051,0
24,-0.00314793828491,-0.00619637968847,-0.00133422454539,0,-0.0129828771508,0.000817979234958,-0.000962913589645,0
25,0.00302696053817,-0.00393534136972,-0.000919349261893,0,-0.00953865673374,0.00440930581587,-0.000283523149752,0
26,0.00517987593053,-0.000224965697012,-0.000332346815573,0,-0.00491061032715,0.00534835726284,6.71533842419e-05,0
27,0.00444682302064,0.00288502855418,0.000165325252651,0,-0.00143989919538,0.00369510586854,8.07951878728e-05,0
28,0.00248047897113,0.00402648531671,0.000422348706594,0,2.47589061792e-05,0.000724122482494,-0.000103979064366,0
29,0.000690758728137,0.00304293407777,0.000436621091591,0,-0.000359663101391,-0.00191393285816,-0.000300755373801,0
30,7.56162024632e-05,0.000824313781065,0.00031974644862,0,-0.00186628577418,-0.00305764770249,-0.000373821740535,0
31,0.00110268481835,-0.0013335872493,0.00021534568665,0,-0.0033728667372,-0.0024987318708,-0.000288631403139,0
