time,rho00re,rho00im,rho01re,rho01im,rho10re,rho10im,rho11re,rho11im,totalpop,sigmaz
0.0,0.99943507863945,0.0,0.0008136165574546835,-0.0004275398682755166,0.0008136165574546835,0.0004275398682755166,0.0005649213608696835,0.0,1.0,0.9988701572781999
0.0010000000000000007,0.9994349376936997,0.0,0.0008125116447755168,0.0005684823233598831,0.0008125116447755168,-0.0005684823233598831,0.0005650623064584666,0.0,1.0,0.9988698753869832
0.0020000000000000013,0.9994328047246834,0.0,0.0008104202822007839,0.001564482035740817,0.0008104202822007839,-0.001564482035740817,0.000567195275170167,0.0,1.0,0.9988656094494
0.003000000000000002,0.9994286797852499,0.0,0.0008073425309264997,0.0025604519122326493,0.0008073425309264997,-0.0025604519122326493,0.0005713202147119833,0.0,1.0,0.9988573595704667
0.004000000000000003,0.9994225629419168,0.0,0.0008032784741495173,0.0035563845970144874,0.0008032784741495173,-0.0035563845970144874,0.0005774370580272502,0.0,1.0,0.9988451258841999
0.005000000000000003,0.9994144542768665,0.0,0.0007982282169944503,0.004552272735279916,0.0007982282169944503,-0.004552272735279916,0.0005855457233957,0.0,1.0,0.9988289085528004
0.006000000000000004,0.9994043538856001,0.0,0.00079219188654725,0.005548108973430935,0.00079219188654725,-0.005548108973430935,0.0005956461143675664,0.0,1.0,0.9988087077711835
0.007000000000000005,0.9993922618805,0.0,0.0007851696318154002,0.006543885959335084,0.0007851696318154002,-0.006543885959335084,0.0006077381197920884,0.0,1.0,0.9987845237603331
0.008000000000000005,0.9993781783868498,0.0,0.0007771616237387511,0.007539596342523833,0.0007771616237387511,-0.007539596342523833,0.0006218216138040713,0.0,1.0,0.9987563567726333
0.009000000000000005,0.9993621035443498,0.0,0.0007681680551446997,0.008535232774422075,0.0007681680551446997,-0.008535232774422075,0.000637896455861655,0.0,1.0,0.9987242070880166
0.010000000000000005,0.9993440375096999,0.0,0.000758189140768367,0.009530787908570185,0.000758189140768367,-0.009530787908570185,0.0006559624907049488,0.0,1.0,0.9986880750183501
0.011000000000000006,0.9993239804517,0.0,0.0007472251172083673,0.010526254400831998,0.0007472251172083673,-0.010526254400831998,0.0006760195483994498,0.0,1.0,0.9986479609033331
0.012000000000000007,0.9993019325558498,0.0,0.0007352762429177165,0.01152162490964055,0.0007352762429177165,-0.01152162490964055,0.0006980674443204837,0.0,1.0,0.9986038651114503
0.01300000000000001,0.9992778940211667,0.0,0.0007223427981773336,0.012516892096186666,0.0007223427981773336,-0.012516892096186666,0.0007221059791543664,0.0,1.0,0.9985557880417002
0.01400000000000001,0.99925186506155,0.0,0.0007084250850985334,0.013512048624650186,0.0007084250850985334,-0.013512048624650186,0.0007481349389297666,0.0,1.0,0.9985037301220167
0.015000000000000012,0.9992238459049337,0.0,0.0006935234275733829,0.014507087162454938,0.0006935234275733829,-0.014507087162454938,0.000776154094995567,0.0,1.0,0.9984476918102835
0.01600000000000001,0.9991938367959499,0.0,0.0006776381712690339,0.01550200038041029,0.0006776381712690339,-0.01550200038041029,0.0008061632040333996,0.0,1.0,0.9983876735915335
0.01700000000000001,0.999161837991567,0.0,0.0006607696835926999,0.016496780953038546,0.0006607696835926999,-0.016496780953038546,0.0008381620080872836,0.0,1.0,0.9983236759835997
0.01800000000000001,0.9991278497656334,0.0,0.0006429183536809824,0.017491421558682153,0.0006429183536809824,-0.017491421558682153,0.0008721502345311337,0.0,1.0,0.9982556995312504
0.019,0.9990918724038665,0.0,0.000624084592361683,0.018485914879792197,0.000624084592361683,-0.018485914879792197,0.0009081275961266834,0.0,1.0,0.9981837448074166
0.02000000000000001,0.9990539062093168,0.0,0.0006042688321303,0.01948025360313217,0.0006042688321303,-0.01948025360313217,0.0009460937909817997,0.0,1.0,0.9981078124181335
0.020999999999999987,0.99901395149745,0.0,0.0005834715271290002,0.020474430420003503,0.0005834715271290002,-0.020474430420003503,0.000986048502601883,0.0,1.0,0.9980279029944665
