order,q0,q1,p0,p1
0.0,-0.005802122983311,-0.0008248065030894002,-0.0015524962748882701,0.001233571646805
1.0,-0.005806475562609,-0.0008247762678382,-0.0015528296158135997,0.001226673970326
2.0,-0.0058106589688950005,-0.0008246917022228,-0.0015532431204594297,0.0012197584128089997
3.0,-0.005814671549215999,-0.0008245516759158999,-0.0015537389772880782,0.001212826412313
4.0,-0.005818511772523,-0.0008243550984869,-0.0015543193943646399,0.001205879408555
5.0,-0.0058221782310389995,-0.0008241009200212,-0.0015549865968087803,0.001198918841017
6.0,-0.005825669641360999,-0.0008237881316992999,-0.00155574282436583,0.0011919461470839999
7.0,-0.005828984845631,-0.0008234157663309001,-0.0015565903288277403,0.0011849627602280003
8.0,-0.005832122812292799,-0.0008229828988653,-0.00155753137140943,0.001177970108237
9.0,-0.0058350826369367005,-0.0008224886468435003,-0.0015585682201497701,0.001170969611495
10.0,-0.0058378635427885,-0.0008219321708296999,-0.0015597031473187503,0.001163962681277
11.0,-0.0058404648812784,-0.0008213126747818999,-0.0015609384266361795,0.001156950718134
12.0,-0.005842886132241801,-0.0008206294063930001,-0.0015622763307417999,0.0011499351102919996
13.0,-0.005845126904092,-0.0008198816573887098,-0.0015637191282380004,0.0011429172320810003
14.0,-0.0058471869339387,-0.00081906876376329,-0.0015652690812274987,0.0011358984424690004
15.0,-0.0058490660873217,-0.0008181901059969299,-0.0015669284422648005,0.0011288800835809998
16.0,-0.005850764358115401,-0.0008172451092036199,-0.0015686994518287,0.0011218634792880002
17.0,-0.0058522818680393,-0.0008162332432494,-0.0015705843353424997,0.001114849933843
18.0,-0.0058536188662361,-0.00081515402281101,-0.0015725853004692997,0.001107840730558
19.0,-0.0058547757286324,-0.0008140070074024999,-0.0015747045342367999,0.001100837130524
20.0,-0.0058557529571215995,-0.0008127918013369,-0.0015769442002006005,0.0010938403713659998
21.0,-0.0058565511788406,-0.0008115080536591999,-0.001579306435675601,0.00108685166606
22.0,-0.0058571711450485005,-0.0008101554580182002,-0.0015817933488041992,0.0010798722017739998
23.0,-0.0058576137300973006,-0.0008087337524955,-0.0015844070156897,0.0010729031387499998
24.0,-0.005857879930267401,-0.0008072427193976997,-0.0015871494776756995,0.001065945609246
25.0,-0.0058579708623864,-0.0008056821849852,-0.0015900227383605996,0.0010590007164970002
26.0,-0.005857887762461001,-0.0008040520191706999,-0.0015930287608600005,0.0010520695337230001
27.0,-0.0058576319842043,-0.0008023521351661998,-0.001596169464805499,0.0010451531031760001
28.0,-0.0058572049973166,-0.0008005824890908,-0.0015994467236896,0.0010382524352170006
