order,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
0,-0.0898159322877,-0.198429244529,0.0747681994417,0.0721303971587,-0.0847056879925,-0.183390678138,-0.406461725504,-0.606697597753,-0.266696154205,-0.157226551649,-0.010383459234,0.064705293852,0.0576330134526,0.29960285468,-0.506010601643,0.181336108505,-0.646081779767,-0.246224884896,-0.387510802545,-0.259261243951,0.129829185791,0.542043267501,-0.572626699969,-0.438983837487,-0.662694546033,0.0646362690849,-0.0471377973864,-0.316339211587,-0.565448759551,0.173511543773,-0.411164607276,0.0226753309395,-0.416142317445,0.583715681079,-0.0420347625846,0.12991166481,-0.352864871042,-0.201187609138,-0.21082839327,0.0621954123072,0.392069854316,-0.244469825395,-0.580471514122,-0.278656193658,0.463792328442,0.204040564048,-0.714553803933,0.350793356424,0.239395499794,0.0508733949799,-0.0924519807879,-0.559733219334,0.322124435207,0.573975651685,0.913955441732,0.28066916209,0.387208065019,-1.91717643004,-2.60796747661,0.960269622559,1.617908814,-4.47653415842,4.05308133466,-1.1548943114,0.21982404734,-2.8446476511,0.344323917785,0.209945118319,-1.99263316521,-2.19575149248,5.90222693162,0.863591312975,-4.39593996357,-0.17881908481,1.1489922696,-3.38191703951,1.62681927444,2.01072297274,-2.61760632727,-0.180407735427,1.0521736026,-2.21479382872,3.26601822649,-0.840052847978,-1.98689519838,-1.40518777156,-0.270550630427,1.79358604743,1.75048885103,4.22430891836,0.919216821054,1.76377446054,-0.500340524404,-1.05417807375,0.152120319875,1.12088016163,-1.40665112702,0.562956246303,1.56613029679,0.873582506672,1.37050344384,-0.228308637111,-0.419025717221,1.28239322749,-1.96889511571,-0.300431738333,1.20239245315,-2.59662028481,-3.00501219956,2.03854707073,-1.09878321144,1.84518494418,-1.3464032485,1.43303968822,-2.26372317485,0.813164945704,0.222202256186,-0.40733693158,-0.343033133801,-0.607473519527
1,0.330022673847,0.110010121518,-0.0673818923212,-0.0539169650158,-0.124782173726,-0.391747701098,-0.388112651206,-0.359806905708,-0.516962383981,-0.262749762919,0.360477925793,0.121623343461,-0.187404163852,0.200384379739,-0.199495422471,-0.462957045041,-0.224766191196,-0.205099764396,-0.537166382714,-0.303858168378,0.313278260997,0.263301563045,-0.247547739297,-0.560062589405,-0.714525278484,0.0198523368916,-0.0205113097808,-0.126596813829,-0.337886296221,0.622535223479,-0.266600740887,0.185918236131,-0.442134372046,0.42645771616,-0.0523789842029,0.242106163505,-0.462872795359,-0.138604353714,-0.0303302944578,0.170435471678,0.503149104577,-0.290212046695,-0.594112910722,-0.16983268259,0.254937929486,0.193952803415,-0.556933963811,0.0583017090826,-0.0704709564647,0.255279032866,-0.207616494654,-0.359955267668,0.181345255953,0.715491744401,0.682153576877,0.366015488723,0.414495803589,-1.95395075007,-2.6389373054,0.901191212554,-0.76262863725,-0.238681581934,-3.17884603538,-1.29984148716,-1.89539170029,-0.174974588106,-0.0337963305379,3.12315735958,-1.67746242868,0.624586395952,0.203960448411,0.344111330939,0.120632051667,-2.27182479578,3.6411647046,-7.3161446549,5.31345248331,-0.982202686378,-0.119949604437,-0.910407629059,2.17620739375,-3.05983104474,2.92796576661,-1.26289702437,0.96096001055,0.598259345338,0.664892666404,1.9171124456,2.50727216423,4.2541645771,1.75217643724,1.45040015681,-0.00855359806182,-1.98774672655,-0.279332778481,1.09037199587,-0.75541099118,0.59990201482,1.93896005768,1.23693939297,0.840312766805,-0.692297637924,0.157686882611,0.889917587652,-2.174893538,0.0630115963913,1.8970144881,-3.16862612376,-3.11205867301,2.00998315371,-1.19396745331,2.12020387164,-1.44478768724,1.37661604243,-2.3544453562,0.885606645617,0.324656358718,-0.327992990001,-0.276086995099,-0.573750590043
2,-0.0876453173956,-0.34223390679,-0.243523109366,-0.293532603289,-0.369158770704,-0.280029930174,-0.32115067361,-0.254514347894,-0.377602064538,-0.106417366361,0.0423941396691,0.122562076013,0.0318715342114,-0.121377299162,-0.0169628302792,-0.837019769831,0.0820610575654,-0.326992854538,-0.434942317041,-0.445988743214,0.477838872741,0.00158015552321,-0.0348418682488,-0.619038336112,-0.509676950618,0.169092334008,0.0619394071263,0.0483188020733,-0.121236891489,0.928187138585,-0.10594146922,0.305133586277,-0.415365788059,0.210322629787,-0.0786584541605,0.339510547781,-0.499646485065,-0.0972507393952,0.155041377833,0.296522297347,0.560951133848,-0.380969383202,-0.549448375309,-0.0995761212577,0.0365787108267,0.2081882227,-0.347466083865,-0.2648669521,-0.366774117935,0.445148989502,-0.328889366633,-0.141987926488,0.0381459973531,0.845190768244,0.446655219509,0.45614171013,0.452330126958,-1.98276663697,-2.6631323134,0.845584549669,1.10464780098,2.37575796547,-3.33728941037,-3.13258857534,-1.85900494876,1.15571307731,1.61962022758,-1.04033726471,4.44439214875,1.63593046495,-5.24193230891,-0.516011437036,3.23667737124,-3.28048238447,-0.447348975737,1.17351731809,-0.308285766183,-0.832474909413,1.75683454474,-1.74717978183,0.792106251706,-1.83620735859,1.19048434154,0.40744181007,2.78935984461,2.16064367807,0.897721116193,1.47951930341,1.59384034569,1.46816348557,1.26849444659,0.901430490706,0.554016218834,-2.20870664607,-0.145085472758,0.81050577404,0.0227479961241,0.162879491347,1.66268664008,1.21382845465,0.332979717008,-1.0979605586,0.719312522316,0.529581907346,-2.14959283021,0.175033384004,2.22490794147,-3.20175871557,-2.73431690054,1.75091173795,-1.21853365497,2.20688497917,-1.39426270142,1.19726181314,-2.33769461441,0.908669720791,0.432814522531,-0.24839852441,-0.207564280066,-0.538076378516
3,0.309731930567,-0.0767433146844,-0.373566794709,-0.568228806501,-0.427756488072,-0.291447111064,-0.178140210656,-0.294095825024,0.0965455070364,-0.0471556411026,-0.35918859242,-0.0121332422847,0.218108239387,-0.233279897512,-0.184083503305,-0.285282615607,-0.267840355059,-0.321517029315,-0.27976008904,-0.58714804407,0.449481564063,-0.0607202366598,-0.0107243374374,-0.444360472623,-0.232453515411,0.389698279083,0.149156008004,0.14860510909,-0.0439041566676,0.872501599972,-0.035109125309,0.359206153186,-0.33094507315,0.00735353806748,-0.0637806410643,0.395532855847,-0.461650889579,-0.113935371323,0.284238540269,0.399600537777,0.575051487339,-0.502257975705,-0.455897180052,-0.0596510733116,-0.166254192227,0.219486627915,-0.12572106449,-0.563890503876,-0.602456747261,0.598911007394,-0.448530528574,0.0749855726474,-0.0926590782331,0.951109420671,0.218094423328,0.546126624723,0.501175769385,-2.00366856534,-2.68040335714,0.793633295214,-0.0382332052873,-6.78008242287,3.20660921842,-1.04698570641,-0.0161720644503,-1.06675819725,0.353819301117,1.81870757748,3.1499412039,-0.442357248067,-1.59015178619,-2.14201902187,-0.369610120742,1.7949384303,-1.72820869098,8.10469431597,-5.40071992193,0.726300665668,0.968368852293,-0.697601381438,-1.25090797283,0.639850135866,-0.5886958304,3.05335326953,2.42568652247,1.91436556447,0.827030122817,0.428256794998,-0.0455746939484,-2.59647232179,0.136614312049,0.140579117638,1.12527535363,-1.76144871839,0.506787632926,0.276220948042,0.702189279293,-0.507579653341,0.85406026275,0.788194691935,-0.0183303270761,-1.27958121324,1.11344373484,0.295506415244,-1.86457192684,0.00535501580691,2.14268551587,-2.69320116892,-1.91256739042,1.29629869452,-1.15945604752,2.1010251714,-1.19874719053,0.903164864621,-2.21673525974,0.883130588305,0.544466540041,-0.169947672351,-0.137637898759,-0.500681480123
4,0.340138540363,-0.471570822767,-0.424955473231,-0.299686770284,-0.443525743955,-0.389062193976,-0.248315133299,0.0890427416591,0.0922839831817,-0.119329791465,-0.249732687354,-0.244453597115,-0.0360298088995,0.17838398885,-0.176703176278,0.344120567305,-0.649078564052,-0.277232061126,-0.272305272508,-0.533574945341,0.27956244755,0.103634067542,-0.110673325126,-0.0582061012327,-0.0623414996288,0.497187430038,0.225931141566,0.118967655074,-0.106225842962,0.447266144834,-0.0610203663396,0.325382473931,-0.194632695952,-0.131290230445,0.028329183317,0.391417010406,-0.369096139049,-0.194883588964,0.318364694959,0.445361591958,0.56401536246,-0.626042115568,-0.335669739817,-0.0347023516716,-0.328698038862,0.201228743871,0.0687797644645,-0.788353634328,-0.738105230536,0.700003862036,-0.557697388576,0.272199032807,-0.197352474445,1.02256955086,0.00648510400394,0.631257441462,0.56124854254,-2.01684095944,-2.69061944849,0.745497689395,4.11362725231,5.39121271001,-5.33176798419,3.97727194761,0.566825836602,-0.62235380864,-0.722551239692,3.93131430981,-2.52029706565,-0.561822931822,2.92129514523,-2.00463557003,-3.79900601623,5.05289536525,2.06734554741,2.73154964493,-0.753412416269,-0.294786212231,-0.744835747848,1.82238894459,-1.81687162637,2.3650240917,-1.15063552235,4.24190022517,0.953391505418,0.0702498376249,0.702500633437,-1.05835944951,-0.986492307683,-5.53760017738,-0.485273842496,-0.84856108954,1.56809177348,-0.997753258807,1.32343154662,-0.354892909025,1.0887237709,-1.06292859298,-0.176964218277,0.102001514619,-0.170995074473,-1.13924736938,1.24311559772,0.232507374038,-1.35236536468,-0.403079611817,1.69427517687,-1.73260546814,-0.757138487574,0.710196840559,-1.00810012574,1.81513851835,-0.876109453071,0.511701730455,-2.00063237067,0.812354526037,0.656856605664,-0.0940397260862,-0.0664988087052,-0.46180356461
5,0.355153480259,-0.387645544529,-0.345597319501,-0.394749685893,-0.247216430106,-0.339843649101,-0.159213587911,0.110041181507,-0.13529059142,-0.116144861883,-0.00833159225623,-0.322906341823,-0.297544648876,0.426570806542,0.0964645616105,0.179126705673,-0.346897958656,-0.392779286908,-0.383018077913,-0.262593563991,0.141775089524,0.340689434783,-0.193018368621,0.305317029275,-0.0175893453304,0.39881642335,0.286629630578,-0.0585594641022,-0.191573964652,-0.140476988519,-0.091453096468,0.187904069428,-0.0252315764471,-0.197224800539,0.190614146275,0.329681581879,-0.256750304778,-0.312192814902,0.254057925986,0.419343013559,0.545836911386,-0.719249097586,-0.216657169351,-0.00792644515421,-0.432096570757,0.134417891249,0.204859463075,-0.900836733821,-0.748195884759,0.739351294162,-0.647002705195,0.432942492882,-0.264643262371,1.05104334459,-0.179331015488,0.707278345956,0.632465087953,-2.02260698007,-2.69366978499,0.70131389197,-4.75008752169,-4.75325501581,6.14670980547,-3.92220194912,1.7557546252,2.22730541815,2.23112456459,-3.88784763772,-1.06863481048,0.596180198782,0.999529635455,0.672049264971,-0.489144497493,-1.4114112494,2.25204831452,-5.03938662931,5.90206367467,-1.60702924721,-1.15894972566,3.17918880569,-0.773707900367,2.00541701304,-0.322054472472,2.5653499741,0.158259032242,-1.92747475346,0.486193229244,-2.39838784246,-0.485132606447,-5.70773257733,0.0748161471267,-1.87463471662,1.77794841264,-0.379971312881,1.83628817184,-0.833464176395,1.09463490574,-1.19441611401,-1.05452622574,-0.603858196912,-0.176203514974,-0.676391277757,1.09417294751,0.324363146525,-0.702512608828,-0.943792180587,0.999258743291,-0.486350068732,0.567976420074,0.0763556913735,-0.762599474334,1.37757038354,-0.45666118213,0.0482458880646,-1.7036326074,0.702066092178,0.766775236628,-0.0220439981286,0.00563950564194,-0.421686404097
6,0.17580859164,-0.039415908817,-0.328547201556,-0.309688903715,-0.300808407889,-0.00509493452118,-0.0203428230655,-0.365959965823,-0.15089696984,-0.0457380805018,-0.0739776700327,-0.131128804265,-0.126532219734,-0.0945088642076,0.118094436388,-0.32272904596,0.204736335222,-0.465778712487,-0.443491209405,0.00187464233407,0.128539170837,0.445748381797,-0.162257287081,0.395173648353,0.0125022322076,0.15247159477,0.317229236596,-0.326817719083,-0.171326139573,-0.604843219908,-0.0188408289442,-0.0352076510087,0.153299514773,-0.22336441139,0.374138320377,0.237065500347,-0.161394951903,-0.414806619841,0.122573692188,0.33215222675,0.529984388744,-0.75361834269,-0.123862672325,0.0330402360668,-0.468831538298,0.0128856122818,0.265998091645,-0.883217284875,-0.625288340444,0.716715551434,-0.707302685573,0.544043004271,-0.286787814016,1.03086567525,-0.332157753098,0.770609443062,0.714403444148,-2.02142364861,-2.689466215,0.661193423193,-0.361454885276,7.11040922282,-2.95968724811,4.59454568301,-1.02228724084,2.72804153696,-0.390992488593,-3.18835125304,-0.0895031491903,0.422966303391,-1.6656691559,2.73705342702,3.01825354612,-7.49126910187,-1.80176835027,-3.31105240986,3.42468339828,0.769115280493,0.204781673026,1.64657517627,0.398480231694,-0.0787018201468,0.882872352491,-0.839966485027,0.59665483754,-2.74264816251,0.0978487307574,-2.72983156709,0.945172937972,-3.25026916113,1.42240081834,-2.46914186736,1.76106650573,-0.233998663842,1.71722693752,-0.94719639053,0.767604559454,-0.76526100136,-1.48537451358,-1.08605355972,-0.145303344244,0.0154248258583,0.736441099224,0.501314523456,-0.041816516331,-1.47191915482,0.225619278071,0.831769777683,1.86975177957,-0.514505231503,-0.430001184279,0.83022674788,0.0194895606346,-0.455677785564,-1.34421835931,0.559989372744,0.870682784098,0.0447380985547,0.0785368503555,-0.3805788385
7,-0.143394336325,-0.168517891466,0.0492152318324,-0.0815178614574,-0.0548167622018,-0.0705093934354,-0.217773738358,-0.312093756574,-0.238568855125,-0.106518629029,-0.167108366585,0.107861104856,0.0638245040932,-0.635321390207,-0.100880619556,-0.324284806948,0.168695967121,-0.205138073685,-0.310760924174,0.0165171950987,0.186541226157,0.321101052209,-0.0461898106016,0.173093739974,0.107831943572,-0.100283241549,0.302452056048,-0.549899048855,-0.0150946700974,-0.758656463782,0.179807996329,-0.274837987606,0.322304311709,-0.26104571463,0.512513029036,0.15460430635,-0.109089748544,-0.449577991139,-0.0245061854197,0.214811245324,0.514016573821,-0.713692063178,-0.072035455758,0.0918698833251,-0.444571462439,-0.154561789573,0.25337265107,-0.739574037734,-0.381475912581,0.640692532929,-0.730666972053,0.597053985293,-0.260397495048,0.959734924103,-0.446809532113,0.818524123722,0.806277298908,-2.0138730948,-2.67794609811,0.625222711611,-1.14957675105,-1.31344365323,6.04206785943,1.0150881984,4.86069896552,-3.42682039883,-2.61231324063,3.34878705473,-1.29528068302,-1.76268637032,0.387231150416,1.46181015731,-0.116671267924,-1.42598439603,-1.39333210773,2.98533615892,-3.81914088335,4.04364603928,2.46922873723,-1.31376704532,0.574594559595,-2.27818527215,1.23276157754,-3.20642990441,1.21017740449,-2.10848304033,-0.401214192668,-1.4539814674,2.01158755594,0.154638607987,2.37847377261,-2.14543883384,1.60262366791,-0.588272761861,0.963813616387,-0.636861563638,0.266389552958,0.126874426593,-1.36857831466,-1.19297616385,-0.195570178946,0.780992610576,0.299324914864,0.664420677968,0.496458992629,-1.83902572758,-0.447274588405,1.99813508447,2.95561520619,-0.978773626865,-0.0276739735457,0.225047481676,0.506008024673,-0.964750410867,-0.943900481919,0.395380546929,0.964858473296,0.105112413677,0.151922630926,-0.338733672148
8,0.0709160672272,0.329345821506,0.154665189523,0.275321256749,0.145734247164,-0.28406375601,-0.34103728659,-0.0729942131247,-0.278096871187,-0.313126102612,-0.0306492923078,0.0903507525695,-0.139822098538,-0.291875743376,-0.0196502505904,0.0686221444198,-0.301540392051,0.183963770029,0.0155638234688,-0.191865477908,0.215217772053,0.0420125225219,0.0459872367942,-0.146291791592,0.216280260696,-0.242850187519,0.236961321931,-0.572246711897,0.185717988336,-0.608479061538,0.408027298924,-0.430323157012,0.471019420267,-0.349005915377,0.556792017752,0.119553606916,-0.107004537481,-0.383880399014,-0.136689682633,0.106403210937,0.485703090573,-0.600597299969,-0.0616953884765,0.162271152064,-0.377210834822,-0.3456249733,0.185029762607,-0.495197411132,-0.0468405223691,0.527325334897,-0.711432676418,0.589038756763,-0.186855599185,0.838960043007,-0.520346064244,0.849275483087,0.906926110416,-2.00064985941,-2.65907550186,0.59346275585,-1.65866216768,0.625382861796,0.689567647686,4.23130359868,-1.52610235851,0.666611041787,0.752436260516,-0.0191796044403,0.785085256582,-1.45979784657,1.50166464,-1.83945660707,-2.95782360964,7.05214544517,2.85286007678,3.61951605873,-3.85305921126,2.84878245292,3.67510210244,-2.27263909739,-0.0812103776192,-2.95975146355,0.478861832667,-2.67637924785,0.727194779221,-0.687035562122,-0.905804262071,1.14676946159,1.76263950727,2.56076307534,1.9058605568,-0.825975250824,1.35588659289,-1.17717138712,-0.0867319968027,-0.0353886061826,-0.202440234687,1.18251306461,-0.823720351937,-0.919434060119,-0.398205846122,1.4524951639,-0.069660305366,0.71919759807,0.806479419182,-1.92938658499,-0.867606846045,2.81839308466,3.6630536087,-1.25312101838,0.416488272294,-0.38053351217,0.954521776071,-1.44254310275,-0.525833050361,0.218481583626,1.04556736601,0.158031327351,0.225492850135,-0.296406496412
9,-0.349945290329,0.05417740196,0.362886779884,0.289119452812,0.00773463032051,-0.00855764778921,-0.103877923281,-0.265181186494,-0.17116014498,-0.250995251011,-0.0366200044088,-0.19342674362,-0.277949439625,0.338512927016,0.278249218506,0.243678289918,-0.348811503359,0.263812950499,0.31921813845,-0.31448636015,0.164179850919,-0.200676009162,0.0437226385484,-0.28808729986,0.216533041988,-0.239624459706,0.121153428789,-0.318026678293,0.299063024106,-0.312317116707,0.510350249586,-0.425180296261,0.588843745024,-0.490600354234,0.502360590653,0.148394896647,-0.142439353181,-0.220579464231,-0.184214705623,0.0391468706935,0.429365649958,-0.430799611034,-0.079609959005,0.23011323277,-0.292647433334,-0.529329711072,0.0914134199193,-0.191911543944,0.334858152689,0.397536058954,-0.64720401624,0.522863604171,-0.0722994136251,0.673431717279,-0.552163555608,0.862165537503,1.01482246093,-1.98254434403,-2.63285265615,0.565948908006,0.486702946595,4.70390467192,-1.27973185229,-3.45690105392,0.616105716041,3.4454099704,3.08319786445,-2.15377151021,0.608052238789,2.69120541961,-1.94812896289,-3.20422418411,1.01449583728,3.40454858624,1.82450952105,-0.199803126196,3.25825949085,-1.17274604178,1.84310415059,0.309581109817,-0.941768073362,-1.59358645042,-0.446793551485,0.00916178762633,-0.807484259003,0.689358324639,-1.41574513335,3.8117578751,0.398398451925,3.04387990105,-0.0457137121511,0.9233371577,0.96776840169,-1.59209273101,-0.924627338759,0.591967446114,-0.460205574794,2.01526374366,-0.128977002521,-0.40206857395,-0.748575400767,1.89818765282,-0.250053290395,0.608084142716,0.837703439019,-1.68905998492,-0.943769565575,3.16101173958,3.88456684409,-1.30463116911,0.865396448345,-0.928791498861,1.319064793,-1.8543138711,-0.113345629217,0.0399283251651,1.10923652868,0.202631259953,0.298907987248,-0.253854434785
