order,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
0,0.317148788527,-0.215683950549,-0.20717909336,-0.244275403168,-0.502720238682,-0.342763363339,-0.194257272297,-0.508849986531,-0.491126756204,-0.246856195541,-0.392227324578,-0.490484621576,-0.528082930566,-0.598447385487,-0.0180316516001,-0.234835743108,0.121071550483,0.108100990323,-0.00559602724354,0.318190565824,-0.339194905843,-0.47456614744,-0.255012485154,0.522636480819,0.157054384703,-0.443477077022,-0.156340642927,0.647930628858,0.498608518043,-0.264153395311,0.042269425064,0.574843726765,-0.429059217175,0.21422543665,0.0738421669826,-0.00416297462425,-0.370031357718,0.0748150323498,0.106086487989,0.433711839742,0.048226576749,-0.183693603304,-0.0696883315443,0.265939519492,-0.414255703925,-0.816347376634,0.571247689973,0.329575108035,-0.2171907059,0.177545803805,-1.05890185106,-1.06350358407,-1.5318228168,-0.768169899928,-0.717942382809,-0.73885376524,-0.249647522077,-1.55163260696,-0.274971547588,0.515054536808,-0.497520310714,0.242487652389,0.156019719869,-0.832030323321,-2.16749523987,5.81344171062,0.753172182972,-0.670179092399,-6.54248500212,3.5621272141,-0.0271338041051,-0.65176769815,0.159540487995,-1.34999680045,5.71539094983,-4.23127482041,-0.617205338198,1.41679276001,-0.414867027639,-3.77027472988,-2.67125941455,2.13244164469,0.550495382894,-0.906997748408,0.476500768718,-1.2838487618,1.09060177284,-0.993565573269,0.482027984931,3.48086328049,1.01824909453,2.9785409506,1.2909309446,0.636894006523,-0.761034520569,1.40025590771,0.536003776353,-2.56834356987,-1.33511123533,1.09060551621,-2.24620761172,-3.65689894594,-0.376083616634,0.626298196846,0.672394964895,1.83589029061,1.03561515873,1.68349907287,1.15054615344,-0.808302495076,0.200668425679,1.32660864749,1.0779783453,0.0482790177282,-0.85662881197,-0.932911130602,0.323037366451,-0.057268934811,-0.0367127316211,0.170419466982
1,0.109257912898,-0.206596938643,-0.314565014091,-0.434593238061,-0.258596416434,-0.0524860477934,-0.300192310741,-0.472873041604,-0.790602446155,-0.254094420211,-0.348843615554,-0.510515487281,-0.535222772328,-0.551580817831,0.536799852538,-0.364513594883,-0.0477533372221,0.191783792179,0.0389937934653,-0.0520300615791,-0.544096467205,-0.157150251442,0.0335917933158,0.265066486749,0.296263825734,-0.477490325988,-0.161147769662,0.472561494398,0.515145903186,0.0476437130586,0.21132095293,0.785996791658,-0.312835219205,0.268380351099,-0.0254532435427,0.157084370461,-0.273153085557,-0.206314225111,-0.0590673840376,0.488577774883,-0.136053444247,-0.524477169252,-0.102446214313,0.317996177774,-0.354727785222,-0.616999652496,0.673400879202,0.498852028519,-0.100261469911,0.105737499371,-1.02278494213,-0.937304822816,-1.41036816547,-0.770839612568,-0.803951570043,-0.82928549033,-0.213630975837,-1.54808606623,-0.281755632331,0.531771886482,-1.63019920206,1.04654625144,-2.17254275669,-0.963254078811,5.58547639648,-1.19522484088,-1.42533451122,0.288856808286,1.83788017862,-4.19248985114,0.716552431928,0.369909960136,-0.240629231313,1.47086107677,3.87559613853,2.37327486539,-2.48275382683,-0.0187943189879,0.994783715589,-2.84170115825,-0.600326196169,3.4282086078,4.47042159311,-3.6696948808,2.01793460202,0.559595565239,-1.11591347469,-2.34429884537,-0.370751878717,2.43790289744,2.19480880491,1.12256485313,0.874027004279,0.406888326271,-1.14383536157,1.69368479524,1.25411515089,-2.87757229129,-1.85502579017,-0.0139315062215,-1.31430161834,-3.03058964258,-0.31266980493,0.39041804119,0.519913699379,2.10697356297,0.984152144318,1.6745027035,1.1536312487,-0.613156335709,0.528259453485,1.1926691475,1.34694567944,-0.0996859285618,-0.861269643567,-0.873473839028,0.394668088833,0.127648843076,-0.0989270360285,0.163885328431
2,0.136829428948,-0.178652669832,-0.302781991614,-0.186100881141,-0.0226264880782,-0.310448020068,-0.381256992943,-0.472508257988,-0.356933464837,-0.763105479698,-0.389542369188,-0.426986416621,-0.526544888016,-0.454484478898,0.612526903041,0.177820918201,-0.242077138949,0.0791607967687,0.119316152407,-0.145312263022,-0.360788436179,0.0629871025195,0.449081722751,-0.0573744670744,0.474509149764,-0.372275446206,-0.333401652555,0.225886791509,0.392746111865,0.173988479899,0.440339547558,0.793749780724,-0.274508920408,0.292087431514,-0.136543244109,0.306461422632,-0.150834374628,-0.463824838961,-0.239052168713,0.433389806598,-0.196659808528,-0.768527501877,-0.138098643544,0.340015695953,-0.309057962134,-0.404222095824,0.763357433951,0.659028211345,0.00693017731566,0.057345845279,-0.952495071283,-0.825500028063,-1.26357950261,-0.787526327242,-0.889765962817,-0.913112629491,-0.171269377667,-1.52626127911,-0.294727793736,0.547825628861,1.60475337617,-1.28074820583,3.73249063093,4.83640982024,-2.36314626828,-1.92254167661,-0.553417651182,0.507742187078,4.08262077946,-3.34947150005,-2.17817145951,1.00821948309,0.645176309579,0.147934599107,-2.038114948,7.18218480628,-0.554145682722,-2.14594362827,0.295894100334,1.05231907619,4.22782465452,0.519231473438,2.95065046574,-2.02358076243,1.09852471836,1.24816586638,-1.99061686935,-2.33682475054,-2.13483632205,-0.0482623875203,2.17232780899,-0.904006736417,-0.141222847602,0.0732130369342,-0.984897360885,1.15954657488,1.04112609575,-2.0973145604,-1.60979343518,-1.04612952803,0.151535596541,-1.77178142426,-0.423061074179,0.0343541718494,0.403410428213,2.10142852695,0.791824726936,1.50265365251,0.959446928716,-0.345536632197,0.878349856877,1.04284271787,1.58158704524,-0.230265470535,-0.852996048944,-0.800968325306,0.449648188499,0.307818889047,-0.16026731081,0.157171915074
3,0.272456998594,-0.1285809924,0.097795290126,0.0729864576303,-0.34947547821,-0.366053050771,-0.420785397256,-0.309232617148,-0.322990414002,-0.663240380303,-0.723278479146,-0.403747069964,-0.410713026947,-0.476874732141,0.345790364311,0.747688014417,-0.047459789881,-0.166364440169,0.0690923072499,0.0727409649785,0.177253839945,-0.0475533869257,0.522768373049,-0.0492537874717,0.459679588794,-0.281411525175,-0.490310161176,0.0452250440025,0.104143154741,0.0398253764881,0.609389366361,0.632492953455,-0.33432118427,0.288255242474,-0.206650124075,0.367890333603,-0.0887671055827,-0.597342732609,-0.356391755286,0.293209297443,-0.104739541908,-0.869913623753,-0.189700676914,0.322622354925,-0.271484353476,-0.205838449123,0.827459156889,0.79445177167,0.0861855242891,0.0377380554528,-0.8475682784,-0.728447163512,-1.09577624732,-0.815976499282,-0.97417063911,-0.989078189854,-0.124307028098,-1.48677289064,-0.313739104779,0.563205174385,-0.546773962457,3.04572735172,1.55681657704,-1.13256220789,-1.13119235603,-0.0940479492731,0.242793179886,1.99105574592,-2.97392141516,4.44918141415,-3.17871327777,-0.982888077125,1.35790719657,-0.0456185508259,-1.99390786266,2.88312537072,4.42060410585,-2.17121342201,-1.25072121778,2.49843229175,5.47972287298,-2.23470162629,-1.48986784802,2.21363086774,-1.42395381278,0.401917887926,-0.86340592671,-1.16508320932,-3.41796601425,-2.47589537082,1.07902244512,-2.13162555689,-0.962538309387,-0.109202403931,-0.361738149252,0.00450043571189,0.12636046604,-0.477445904297,-0.636343722111,-1.66825462698,1.64797132946,-0.247296862348,-0.611693653077,-0.389110558639,0.362980244514,1.8236486218,0.471027699491,1.18336512282,0.602709778704,-0.0449623408544,1.21483907498,0.901617203782,1.76456551237,-0.333421113432,-0.833307578034,-0.716443198685,0.486472194603,0.480477700669,-0.219509266784,0.150425498651
4,-0.15296832193,0.0699625715382,-0.0715802018253,-0.236754716392,-0.184320452612,-0.35757357043,-0.297459378431,-0.291476894181,-0.572639743757,-0.30695952988,-0.758649465288,-0.616064378057,-0.344840341203,-0.3942733516,0.352861759488,0.684198816031,0.497827128763,-0.225851817195,-0.088984663528,0.187269915462,0.522821277215,-0.239012755918,0.237429253083,0.303928442247,0.239094600363,-0.293875536548,-0.475575915456,-0.00737255645413,-0.226157501312,-0.265145808463,0.644244890789,0.408774553241,-0.441395541203,0.278935301913,-0.204514266451,0.304924335666,-0.128762639113,-0.552265479381,-0.3533895228,0.119511606307,0.117325450729,-0.823341143268,-0.258841066294,0.261669535457,-0.233311274268,-0.0469687986544,0.854401148751,0.891787623751,0.123919331182,0.0478570765967,-0.711188696837,-0.644140895164,-0.912865304826,-0.853023515823,-1.05608816856,-1.05604574646,-0.0746144684646,-1.4305009404,-0.338520406789,0.577914365951,-5.54865552377,0.207953218367,-3.37562318666,-2.69350328597,2.10806055842,1.14517168092,1.65483223126,-1.97429312406,-0.273399528078,0.826237292428,2.88546252718,-2.59333469173,-0.422370506948,1.57039653989,1.93880242656,-3.43118568071,5.26769954764,1.48059120881,-1.59810605935,-0.794314574858,0.685181688133,-0.883070325846,-3.49391857167,4.11481031737,-2.52522692254,-0.509354032943,1.16095434966,0.00784206516529,-2.80639741465,-3.26127552488,-0.370080077602,-2.14290940802,-1.03447597358,-0.039380115335,0.38946415155,-1.22178854086,-0.882242253532,1.35007334116,0.718926523348,-1.70451445645,2.68175727124,1.11913938547,-0.753202423557,-0.8283187421,0.416207013767,1.32285168273,0.0559419804162,0.747035466111,0.139840699737,0.240674163088,1.50163606291,0.791302578026,1.88172397096,-0.401048339363,-0.803423981218,-0.621261698594,0.504125544592,0.643088452331,-0.275475916905,0.143787972678
5,-0.165816331594,0.0672640418176,-0.179774505865,-0.237644186239,-0.215809916675,-0.105544627931,-0.235520290573,-0.51275903485,-0.38994869175,-0.483893767547,-0.348038175084,-0.725602846653,-0.499991545508,-0.28058460083,0.560225886073,0.323293538002,0.782109676378,0.141422621872,-0.18700337087,-0.0950317631056,0.29654250353,-0.150985715539,-0.0353909641346,0.614897089899,0.0558596419149,-0.33782184707,-0.28364088791,0.0137968224448,-0.38698023466,-0.538978094147,0.549445840983,0.236203085576,-0.514921524885,0.284672374642,-0.138822896088,0.141524680984,-0.245710997967,-0.345319897173,-0.217302768843,-0.0291346547346,0.4048712401,-0.663210330753,-0.335246592529,0.158135187438,-0.185357025397,0.0541801051108,0.837195812223,0.941339017331,0.112948018785,0.0837265578474,-0.549955877868,-0.568565787959,-0.721951230223,-0.894813854102,-1.13454232834,-1.11303076804,-0.0241381822255,-1.35856603675,-0.368688022527,0.591970898044,5.34869040738,-0.935691536736,2.43033034356,1.97246969458,-1.67473939034,2.49291620479,-0.575960013347,-0.902741710489,2.33628623732,-2.61910034509,3.47181567283,1.16966728106,-2.26496766038,-0.054048230098,1.16399771977,-2.47104653306,-0.176078682095,5.37631670642,-0.101988357609,-4.3067972505,-4.59104938011,2.54106295132,-1.4738243725,1.45110289413,-0.726030889426,-0.125063131482,2.45722210701,0.233989970211,-0.151636952828,-1.89750219969,-1.41292000778,-1.20061223279,-0.334499326357,0.154664004234,0.844021694697,-1.91806194289,-1.31607251558,2.64557894059,1.93451529922,-1.19022316038,2.92211599312,1.97788297858,-0.744095099653,-1.23220680579,0.55525138953,0.686312991817,-0.402408641056,0.235327565952,-0.359069209288,0.462121337889,1.70727981737,0.729383517719,1.92346900303,-0.427602563149,-0.76412818584,-0.517096031427,0.502106453051,0.793383029843,-0.327056983247,0.13739401399
6,0.328867338832,-0.200750740882,0.065416616254,-0.0107237548395,-0.159450430721,-0.152571952749,-0.306994138029,-0.352866532439,-0.356006011296,-0.513965921468,-0.294772269548,-0.410703803768,-0.661942806232,-0.473068555531,0.493714510389,0.306275300183,0.515373239687,0.662657754982,-0.0837243556571,-0.485170004679,-0.177211047921,0.163600000753,-0.0352840238446,0.536495480558,0.125216607676,-0.286409472696,-0.0324863807156,0.0127812397682,-0.237944470182,-0.604717689135,0.387086102826,0.177140769418,-0.497471564315,0.305498439602,-0.0550770375372,-0.0496184804884,-0.359736172641,-0.058687825673,0.0123660916434,-0.107276498648,0.672492314709,-0.450747205305,-0.401226518779,0.0181141383004,-0.120394959635,0.0894774681344,0.774463543495,0.93795059437,0.0533779584679,0.136690148503,-0.373204647421,-0.496290873842,-0.530826226522,-0.937086204442,-1.20860906682,-1.15923047087,0.0251511962743,-1.2723006769,-0.403751329713,0.605405459565,2.09628598292,-2.46883919927,-0.929879608975,2.20323503498,3.10978899479,-3.21065265881,-0.230065847313,3.27697485354,-1.50162625711,2.27244418167,-2.12715538357,4.02820791633,-0.324348941399,-3.44759361093,-2.1190423226,1.80276483671,-4.13343306754,3.91545672271,2.13224726424,-2.41606667651,-3.64384504526,2.96730936063,1.21162131115,-2.88241009112,1.96198610308,1.18898052913,2.34784906277,-0.306546119509,3.03342681827,0.635294587497,-1.71125675678,-0.00383697120694,0.685280989412,0.220434308879,0.729073597845,-1.75858594004,-0.80048346789,2.89085391504,2.52371059525,-0.34128914693,2.2938681819,2.15459369339,-0.544792711708,-1.54956630186,0.749770575701,0.0254703213153,-0.844492668902,-0.303401755361,-0.820012897565,0.576262744604,1.8091649889,0.726389185438,1.88576889061,-0.410524475308,-0.715670416776,-0.405903339329,0.480433829833,0.929396971712,-0.373226648742,0.131368403106
7,0.198249552809,-0.219670084677,-0.291733390822,0.0211418758316,0.0730096999225,-0.339116211151,-0.263352551859,-0.146594676785,-0.428338647153,-0.253976166207,-0.496910529918,-0.185840051041,-0.531171870207,-0.780064589287,0.325655336812,0.505142299521,0.200322343998,0.758210510407,0.198218284444,-0.425435729451,-0.261962553131,0.306041298225,0.110403230211,0.136976690742,0.364231220456,-0.120504179872,0.155881077369,-0.0381383365228,0.163031841091,-0.432466152295,0.226853160225,0.219685795981,-0.387334292109,0.318384888394,-0.0106854067846,-0.185680761268,-0.377932320526,0.195149214354,0.257633309394,-0.0964635778876,0.840798113828,-0.253829864778,-0.439168338945,-0.147256599196,-0.0350610843409,0.0623771583696,0.670778445119,0.881431050744,-0.0475127303399,0.194378973829,-0.191947110918,-0.421239961873,-0.347384334573,-0.975481402712,-1.27736137293,-1.19405031156,0.0713107593579,-1.17321745104,-0.443122015146,0.618260618509,-3.44129333251,0.913869616103,-2.23552822942,-2.70139660587,-0.495684242197,1.45013946638,0.843706666294,-0.136501027534,1.31526503706,1.46112738363,-0.423100599987,-0.345842910076,2.4966927774,-1.52862984391,-0.235537682236,1.21481745946,-1.23335888862,-2.23695514779,3.15853935591,3.81760151222,2.13462625103,-0.477598643982,1.16505061843,-4.39359846419,2.22535756448,1.91931676266,1.34554797459,-0.577261811865,4.55403604759,2.5705567789,-1.42700960803,0.732770886264,1.42950382653,-0.0167212706352,0.095074341882,-0.877844521429,0.535126572207,2.02202333332,2.23020858947,0.536314883177,0.986835263083,1.69161416651,-0.196717048597,-1.73157395679,0.954376132058,-0.542773435219,-1.21254461796,-0.819065938452,-1.17521382953,0.553005985911,1.79678125406,0.784546970818,1.77065734045,-0.350426067215,-0.657743310603,-0.289882504554,0.439641105568,1.04949677457,-0.413059374613,0.125823547499
8,0.00201963873962,-0.0623194369684,-0.136193242473,-0.376577186963,-0.283813582948,0.0126853668054,-0.153052854506,-0.293804903339,-0.137952216866,-0.282043614599,-0.32066421735,-0.413971699352,-0.32210925022,-0.653505246431,0.507871924141,0.476205745934,0.298270525965,0.320888809039,0.469248957874,0.183181455411,0.131149450193,0.0936313108619,0.125478283165,-0.206807266211,0.457439908347,0.0508698267477,0.234044355833,-0.0676294941917,0.574743800291,-0.154024273859,0.1084744374,0.29539065078,-0.233391881962,0.293576046429,-0.0413450488495,-0.218685506765,-0.244774079557,0.322230920866,0.431096985098,-0.00867844125493,0.859947259505,-0.126169932948,-0.439196032582,-0.322360051922,0.0691296440347,-0.0125484674866,0.535968443446,0.776477184791,-0.17636981364,0.242294491507,-0.0175608446169,-0.337549360294,-0.179012723903,-1.00585815513,-1.33981537455,-1.21712522687,0.11247589408,-1.06297491278,-0.486124803995,0.630589470767,0.14653384292,2.60319297116,2.68519854602,-2.58913371412,-4.62211234774,2.70711957755,1.44199898665,-1.25468304789,2.92466071799,-1.02447854467,2.93126410574,-2.93761147749,0.939475264609,3.79767518722,3.2651595742,-1.4136646195,2.5344423992,-5.36001010004,1.91122719265,7.30111855642,4.51410229505,-3.19855730491,-0.954136106851,-2.00386629264,-0.760451023289,1.31638555975,0.243578612109,0.159621410335,3.20463212016,2.65507890073,-0.933603380965,0.637339115003,1.53435361904,-0.50338501789,-0.69324827941,0.194044428627,2.10258190602,0.458987933204,1.12762022844,1.15788785493,-0.615213778107,0.8197854589,0.191620335347,-1.73901820278,1.1186455962,-0.916250835021,-1.46086469825,-1.26479159751,-1.37230932433,0.38054428581,1.67348255369,0.897402266311,1.58618204857,-0.251019308495,-0.589531366778,-0.171412542598,0.380756315807,1.15239921848,-0.445743551786,0.120857247288
9,-0.0186531039044,0.00735994015251,-0.102906827703,-0.257396594887,-0.397947027636,-0.175529451057,-0.0379968590598,-0.163196981939,-0.0929464261714,-0.239825590277,-0.167147252619,-0.526251278121,-0.372798528952,-0.235100023687,0.741355267474,0.378583798508,0.504648002963,-0.0605133026022,0.543757633962,0.786346073795,0.374978529902,-0.183544451625,-0.0428548414544,-0.237295064642,0.193348750014,0.127085448432,0.210798628409,0.0147887542325,0.733146341867,0.040620241259,0.0386224036142,0.322717535033,-0.100201518978,0.218264525665,-0.138320740147,-0.162077607081,0.0246140481534,0.287712530742,0.468306212739,0.120646464119,0.723119302283,-0.0923493643487,-0.404057119333,-0.488571227615,0.185807367674,-0.112017747902,0.383468202143,0.632120259384,-0.315677354649,0.26580105747,0.139612726654,-0.240411830277,-0.032016358188,-1.02458886164,-1.39488497917,-1.2283338828,0.146908204415,-0.943341923003,-0.532009438152,0.642454079077,-1.03763519926,-2.09351570747,-1.24006478689,3.67139004635,2.97018668674,-5.43573196224,0.0674629576945,3.66799243831,-1.85028682472,2.07240959364,-0.476173963934,1.19470658828,-1.41449249622,3.14909759651,0.22460245236,0.166224962087,0.700943508027,-1.29370947209,-0.388562372947,3.66801510483,-0.673116259013,-1.66606046355,-2.02454590676,1.16954820379,-4.2834402195,0.260413567976,-0.686487591345,1.49513463047,-0.214207684405,1.04620957054,-0.476883600502,-0.177797646318,1.05912644458,-0.971811883551,-1.15715242993,0.818604368169,3.13817616956,-1.08184114244,-0.415497074673,1.35076891193,-2.05866296591,-0.126687497103,0.484391399601,-1.55279618823,1.19758152062,-1.02558989589,-1.56414389759,-1.60147120681,-1.38136200197,0.068177866994,1.45648123326,1.05047587625,1.34579251716,-0.118792135849,-0.509831174654,-0.052974910278,0.305269276788,1.23718256872,-0.470592804944,0.11655073768
