time,rho00re,rho00im,rho01re,rho01im,rho10re,rho10im,rho11re,rho11im,totalpop,sigmaz
0,1,0,0,0,0,0,0,0,1,1
0.001,0.999999000001,0,3.474033492e-07,0.000999997386508,3.474033492e-07,-0.000999997386508,9.99998693258e-07,0,1,0.999998000003
0.002,0.999996000021,0,1.39021875544e-06,0.00199997909258,1.39021875544e-06,-0.00199997909258,3.99997909236e-06,0,1,0.999992000042
0.003,0.999991000106,0,3.12929815782e-06,0.00299992944099,3.12929815782e-06,-0.00299992944099,8.99989415836e-06,0,1,0.999982000212
0.004,0.999984000334,0,5.56541831649e-06,0.00399983276137,5.56541831649e-06,-0.00399983276137,1.59996655041e-05,0,1,0.999968000669
0.005,0.999975000817,0,8.69928035495e-06,0.00499967339397,8.69928035495e-06,-0.00499967339397,2.49991834117e-05,0,1,0.999950001633
0.006,0.999964001693,0,1.2531509325e-05,0.00599943569331,1.2531509325e-05,-0.00599943569331,3.59983068575e-05,0,1,0.999928003386
0.007,0.999951003136,0,1.7062653796e-05,0.00699910403186,1.7062653796e-05,-0.00699910403186,4.89968635441e-05,0,1,0.999902006273
0.008,0.99993600535,0,2.22931854717e-05,0.00799866280369,2.22931854717e-05,-0.00799866280369,6.399464994e-05,0,1,0.9998720107
0.009,0.999919008569,0,2.82234988351e-05,0.0089980964281,2.82234988351e-05,-0.0089980964281,8.09914313267e-05,0,1,0.999838017137
0.01,0.999900013058,0,3.48539108255e-05,0.0099973893533,3.48539108255e-05,-0.0099973893533,9.99869418524e-05,0,1,0.999800026116
0.011,0.999879019115,0,4.21846605494e-05,0.01099652606,4.21846605494e-05,-0.01099652606,0.000120980884594,0,1,0.999758038231
0.012,0.999856027068,0,5.02159090273e-05,0.0119954910652,5.02159090273e-05,-0.0119954910652,0.000143972931624,0,1,0.999712054137
0.013,0.999831037276,0,5.89477389799e-05,0.0129942689255,5.89477389799e-05,-0.0129942689255,0.00016896272409,0,1,0.999662074552
0.014,0.999804050128,0,6.83801546547e-05,0.0139928442412,6.83801546547e-05,-0.0139928442412,0.000195949872295,0,1,0.999608100255
0.015,0.999775066044,0,7.85130816965e-05,0.0149912016598,7.85130816965e-05,-0.0149912016598,0.00022493395579,0,1,0.999550132088
0.016,0.999744085477,0,8.93463670627e-05,0.0159893258793,8.93463670627e-05,-0.0159893258793,0.000255914523468,0,1,0.999488170953
