order,q0,q1,q2,q3,q4,q5,q6,q7,q8,p0,p1,p2,p3,p4,p5,p6,p7,p8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623699998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.37413844778850003,0.025197108849370004,-0.001438115085989,0.001490798863119,-0.0017211258550220002,0.0030992370038800004,0.002641910209516,-0.009584198771659,0.0,1.363256813589,0.0067062453830509985,-0.0002855768155096,0.0004068041981907,-0.0004716492135514,0.0008842868071328001,0.0007385249815604,-0.002807655467516
2.0,0.0,-0.7205434758314999,0.04522306226975,-0.002715653415403,0.002663689081898,-0.0030694736574490003,0.005473554377659,0.004688086360299001,-0.01680366365965,0.0,1.2143986114160001,0.02590680771988,-0.00112317101759,0.001570388731261,-0.001818758860569,0.003400067786885,0.002842991822326,-0.010769422911579998
3.0,0.0,-1.0140111615590002,0.05550819541984999,-0.0036800032874419997,0.0032379479972119997,-0.0037179011444179997,0.006493413505765999,0.005619273830457999,-0.01962532350218,0.0,0.9792099904333998,0.054949850749849996,-0.0024561057617740003,0.003326750604397,-0.0038455066710880005,0.0071527568928519995,0.005993470750724,-0.02255977888339
4.0,0.0,-1.233634741844,0.052618986847860004,-0.004193311266513,0.0030028983076499996,-0.003424562967049,0.00570752344934,0.005058994768168,-0.016633745800569998,0.0,0.6752360282516,0.08972476185263001,-0.004192340736945001,0.005421759153526,-0.006250141124104,0.01153764762106,0.00969893923381,-0.03616034166861
5.0,0.0,-1.363993794253,0.03468703755567,-0.004139475920249,0.0018445665278219998,-0.0020638156465500003,0.002905881722911,0.0028246081134149998,-0.007239066625965999,0.0,0.3249018123841,0.12510535149149998,-0.0062071729986309995,0.007538114101252,-0.008658523905582,0.015812662740649998,0.013354746564309999,-0.04911981576832001
6.0,0.0,-1.3963722192710002,0.0016548660645710003,-0.0034315041775490004,-0.0002384848003982,0.0003546151560869,-0.0018442496371020001,-0.0010429296797490003,0.008208665956693999,0.0,-0.04596143824368,0.1555019683469,-0.008346264781465,0.009329155685288002,-0.01066490381134,0.019186425181490004,0.01631285731631,-0.05886178430592
7.0,0.0,-1.3295035600129999,-0.04464742500755,-0.002019187511651,-0.00313013611557,0.003679784405881,-0.008191825786518999,-0.0062734474439740005,0.028407288738799996,0.0,-0.41035913118679995,0.17545881672320002,-0.01043142097858,0.010456012271670001,-0.01187823450264,0.02091581931991,0.017959948448229998,-0.06302694265841
8.0,0.0,-1.169262082301,-0.10059017652270001,0.00010521040163396998,-0.006602054841140001,0.007630135964797,-0.015530066016470001,-0.012388891834339999,0.05122414111576999,0.0,-0.7423785838469001,0.1802635029141,-0.012268767993899999,0.01062541121484,-0.011968765290880002,0.020402521571110003,0.017794059736459998,-0.05980822125729
9.0,0.0,-0.9278761988705002,-0.161027313958,0.0029022799056930004,-0.01033022086763,0.011817603278709999,-0.02305480140857,-0.01874707755779,0.07392915931895999,0.0,-1.018624420172,0.16650097584270002,-0.013656381410540003,0.009624278090502,-0.0107071648424,0.0172723606822,0.01548840289882,-0.04820857858567999
10.0,0.0,-0.6235733710085001,-0.21978954951299995,0.0062804418748539995,-0.0139243824511,0.01578304339154,-0.029846968000520002,-0.024605561982719997,0.09349737093737001,0.0,-1.219772928009,0.1325019223137,-0.01439583387958,0.007348803826791,-0.007997141126005,0.01143510804947,0.010942083342690001,-0.02821792427164
