order,q0,q1,q2,q3,q4,q5,q6,q7,q8,p0,p1,p2,p3,p4,p5,p6,p7,p8
0.0,0.002529118498668,-0.0007833874368559999,0.0008289114010786601,0.000594663326286,0.002483955132748,-0.0021558414600149995,-0.0005462663175318001,-0.001596506689412,-0.0013635132221641,-0.0018867961303942998,0.002308385727782999,-0.005313415092985099,-0.002552953133356,0.0009040794391001999,-2.883001732330009e-05,-0.000773788876488,0.0024866856918770203,-0.0012946965858253
1.0,-0.0029130930175485003,-0.0016157960449800003,0.0022256931271765,0.001197417734339,0.0021721713874355,-0.0020325630641008,-0.00031701071807097,-0.0021224582201163,-0.000878249799162,-0.0012295518463114998,0.001968502654772,-0.004874108904994291,-0.0024109012965757,0.0015729685819339998,-0.0006940989318520002,-0.0008594959550249998,0.0019817689826707,-0.0016871928961516
2.0,0.00042563112314000003,-0.0023201356700860002,0.0034538622011976,0.001764117529148,0.0017095327097342004,-0.0017252540136171001,-7.942768709402002e-05,-0.00246706615200036,-0.0002760286467845001,0.0031474837339934697,0.0013981770919482702,-0.0040657194629455,-0.002140896395057,0.0021338812878212003,-0.001307581212351,-0.0008849004347784,0.0013947642811571001,-0.0019168079893207
3.0,0.00249960220642,-0.0028136292953017997,0.004380753169887,0.0022700590866292004,0.0011444103592629,-0.0012560275028897,0.0001573549267606999,-0.00267863664577,0.00035181919797145977,-0.0019758065841418,0.0006088400165471001,-0.0029660140982094496,-0.0017345805241605003,0.0025656986613388,-0.0017727661127418001,-0.0008530695868621005,0.0007617090234697001,-0.0019373692203033602
4.0,-0.0029722351886216996,-0.0029950443768503006,0.004946821460794001,0.0026852045404990002,0.000467932047885,-0.0006849452230673998,0.0003705836246952999,-0.002750187575747,0.0009276558715979998,-0.0011464534453026,-0.00032290780615100017,-0.0016746671377457002,-0.0012024158325770501,0.0028450030339238,-0.0020307349905476003,-0.0007553196844522003,7.458206105520008e-05,-0.0017524949425394998
5.0,0.0005285253943663,-0.002858117991337,0.0051451434867919995,0.002981577374442,-0.0003023714466504999,-6.0627688543699976e-05,0.0005313875141080997,-0.0026273870792803996,0.0014274400816210997,0.0031384997112266595,-0.0012626005120096998,-0.00027783004826749993,-0.0005703668728334001,0.0029090820484280995,-0.002102846557323,-0.0005992965383697999,-0.0006037256152259001,-0.0013929317751192002
6.0,0.002428351098534,-0.0024594009388019997,0.004972158200371,0.0031259134504560996,-0.0010674931464429997,0.0005891844355109997,0.0006337149908332999,-0.0023363660849684,0.0018265482286429,-0.0020630807249355705,-0.0021267969993852996,0.0011180931675612,0.00013415949442699995,0.0027386235562833604,-0.0020115690408036998,-0.0004097092803239099,-0.0011796392977619999,-0.0008835591249859998
7.0,-0.0030208013801629,-0.0018173598215650007,0.004445180551944999,0.00308224146535244,-0.001738795400166,0.001197467040721,0.0006857557506666002,-0.0019531606924514,0.00206172531037052,-0.0010321638819167,-0.0028733009845149995,0.002375728543512,0.0008715121080979998,0.0023885830183898,-0.0017421172776768,-0.00020411837623070006,-0.001654778413612,-0.0002693868850632999
8.0,0.0006480847152911999,-0.0009350131954343002,0.003624788833847,0.0028387206545852,-0.0022972070145784998,0.0016697691668604003,0.0006839707793578998,-0.0014842484074033997,0.00208410123992848,0.00312378403273217,-0.003415543512721,0.0033976708854299,0.0015846799518498002,0.0018977866775418003,-0.0012981291086421002,-1.5963479019100343e-06,-0.0020688437139757,0.00037522115746680014
9.0,0.0023604276260920003,0.00010919474485380012,0.00257387641323835,0.0024209515562369998,-0.00272085713315191,0.0019646026673073,0.0006277994301568,-0.0009137802899926998,0.0018945692514488002,-0.0021344775098612,-0.003652721581191,0.004159111987178,0.0022217990980998997,0.0012581789157841,-0.0007249160678016399,0.0001732046043269201,-0.002375103921442,0.0009949204558985
10.0,-0.0030316337136618,0.001191125729785,0.0013465628705364,0.00186825231604176,-0.00295387133607388,0.0020928941711694004,0.0005339016497810001,-0.00030208431825029975,0.0015126540731179,-0.0009563236341982,-0.0035553592527089997,0.004641098211631,0.0027494377472418,0.0005089969078340001,-6.92549432818e-05,0.00031589281874143003,-0.0025087333548094006,0.0015513313913778002
11.0,0.0007075634384231999,0.0022192873688399997,3.721948998100001e-05,0.0012123581218269,-0.0029811956670229996,0.0020433099335905,0.00041145643977044016,0.0002918039120388999,0.0009683605522644,0.0031008591925476498,-0.003145885385535,0.004790824897032,0.003138547516812,-0.00025138002740819984,0.0006130686756886997,0.00044135578850590005,-0.0024928518747171008,0.0019776511202829
12.0,0.002320194275568,0.0031176851036490002,-0.0012275672699524,0.0004823066443391001,-0.002834876833695,0.0017922707294119003,0.0002580463639484,0.0008890280997781001,0.0003308997749708997,-0.0021694951567997,-0.0024324531713300003,0.004583495111220999,0.0033646465745630003,-0.0009660519850889998,0.0012304445783278002,0.0005448163513738632,-0.0023632437548006,0.0021969498766626
13.0,-0.0030259034508323007,0.003765438741047,-0.0023681946760537,-0.0002885291171971999,-0.002514780996728,0.0013622262845257999,8.16469462941e-05,0.001486620404226,-0.0003216461117672002,-0.0009175435809455001,-0.0014421156873974006,0.004049144173957001,0.0034184348014180002,-0.0016382172589560003,0.0017091102275806,0.0006010605176216003,-0.0020789314514748,0.00219184690067639
