time,rho00re,rho00im,rho01re,rho01im,rho10re,rho10im,rho11re,rho11im,totalpop,sigmaz
0.0,1.0,0.0,-0.00023664300308831775,-0.0003128086537887667,-0.00023664300308831775,0.0003128086537887667,0.0,0.0,1.0,1.0
0.0010000000000000007,0.9999966636639667,0.0,-0.0001453299737687,0.0005853688486519633,-0.0001453299737687,-0.0005853688486519633,3.3363360357666666e-06,0.0,1.0,0.9999933273279333
0.0020000000000000013,0.9999966599866333,0.0,-0.00014716354054613326,0.0014296072165804335,-0.00014716354054613326,-0.0014296072165804335,3.3400133600666665e-06,0.0,1.0,0.9999933199732667
0.0030000000000000014,0.999993314949,0.0,-0.00014722441406616671,0.0022623138940392937,-0.00014722441406616671,-0.0022623138940392937,6.6850509758e-06,0.0,1.0,0.9999866298980666
0.004000000000000003,0.9999866194983668,0.0,-0.00017490887720246668,0.0031619283982146297,-0.00017490887720246668,-0.0031619283982146297,1.33805016404e-05,0.0,1.0,0.9999732389967
0.005000000000000002,0.9999832627013666,0.0,-0.00015729569146956659,0.004003322932732866,-0.00015729569146956659,-0.004003322932732866,1.673729863163333e-05,0.0,1.0,0.9999665254027333
0.006000000000000003,0.9999731929252668,0.0,-0.0002171889151044334,0.004784625042432467,-0.0002171889151044334,-0.004784625042432467,2.6807074713833332e-05,0.0,1.0,0.9999463858505333
0.0070000000000000045,0.9999664597173333,0.0,-0.00020825260852096663,0.005718504961130267,-0.00020825260852096663,-0.005718504961130267,3.354028261713334e-05,0.0,1.0,0.9999329194348
0.008000000000000005,0.9999630785639334,0.0,-0.00019677724988806665,0.006594456771372168,-0.00019677724988806665,-0.006594456771372168,3.69214360648e-05,0.0,1.0,0.9999261571279
0.009000000000000003,0.9999428769751,0.0,-0.0002272002475349,0.007443356660192335,-0.0002272002475349,-0.007443356660192335,5.7123024899300004e-05,0.0,1.0,0.9998857539501333
0.010000000000000004,0.9999327437591,0.0,-0.00023951416736119996,0.008270332808675333,-0.00023951416736119996,-0.008270332808675333,6.725624085533334e-05,0.0,1.0,0.9998654875183
0.011000000000000005,0.9999057628818332,0.0,-0.0002553762586383999,0.009178242572704148,-0.0002553762586383999,-0.009178242572704148,9.423711818579999e-05,0.0,1.0,0.9998115257636333
0.012000000000000005,0.9998787520329336,0.0,-0.0002729213261593334,0.010056409794231065,-0.00027292132615966674,-0.010056409794231065,0.00012124796709823332,0.0,1.0,0.9997575040658333
0.013000000000000008,0.9998651644853669,0.0,-0.0002772023082161868,0.010991284075694666,-0.0002772023082161868,-0.010991284075694666,0.00013483551464823332,0.0,1.0,0.9997303289706666
0.014000000000000009,0.9998549376047001,0.0,-0.0002468361434850333,0.01196448695866,-0.0002468361434850666,-0.01196448695866,0.00014506239532223334,0.0,1.0,0.9997098752093334
0.01500000000000001,0.9998379396899001,0.0,-0.00030318603175263,0.012894164890767333,-0.00030318603175263,-0.012894164890767333,0.00016206031028083334,0.0,1.0,0.9996758793793998
0.01600000000000001,0.9998107944625999,0.0,-0.00022765769857383672,0.013830455545004667,-0.00022765769857383672,-0.013830455545004667,0.0001892055374418334,0.0,1.0,0.9996215889250666
0.01700000000000001,0.9997632686599666,0.0,-0.00024602862361482435,0.014694167429915332,-0.00024602862361482435,-0.014694167429915332,0.00023673134018633337,0.0,1.0,0.9995265373195337
0.018000000000000006,0.9997190521364666,0.0,-0.00023814254720037995,0.015582499289119334,-0.00023814254720037995,-0.015582499289119334,0.0002809478635309333,0.0,1.0,0.9994381042728
0.019000000000000006,0.9996645949126334,0.0,-0.0002676128264046866,0.016509426482549334,-0.0002676128264046866,-0.016509426482549334,0.0003354050873864,0.0,1.0,0.9993291898252668
0.020000000000000007,0.9996337616526664,0.0,-0.00030883067586729996,0.01731720125972266,-0.00030883067586729996,-0.01731720125972266,0.0003662383472957334,0.0,1.0,0.9992675233053334
0.021000000000000008,0.9995859644056665,0.0,-0.00033751699642721336,0.018149285743663996,-0.00033751699642718,-0.018149285743663996,0.0004140355943494333,0.0,1.0,0.9991719288112667
0.02200000000000001,0.9995550620776003,0.0,-0.00032403103940467653,0.01910756058742334,-0.00032403103940467653,-0.01910756058742334,0.0004449379223918334,0.0,1.0,0.9991101241551998
0.02300000000000001,0.9995342859508999,0.0,-0.0003310089737851168,0.0200340863669,-0.00033100897378511346,-0.0200340863669,0.0004657140491519668,0.0,1.0,0.9990685719016668
0.02400000000000001,0.9994828685521,0.0,-0.0003535492626149334,0.02095476068374,-0.0003535492626149334,-0.02095476068374,0.0005171314478815334,0.0,1.0,0.9989657371042335
0.025000000000000012,0.9994109550814001,0.0,-0.0003232850073810935,0.021854114144526662,-0.0003232850073810935,-0.021854114144526662,0.0005890449186027667,0.0,1.0,0.9988219101627666
0.026000000000000016,0.9993729614517334,0.0,-0.00028721132837803326,0.022717697169550004,-0.0002872113283777,-0.022717697169550004,0.0006270385483361999,0.0,1.0,0.9987459229032667
0.027000000000000017,0.9993281910622335,0.0,-0.00034041544150569984,0.023601162789773335,-0.00034041544150569984,-0.023601162789773335,0.0006718089378620335,0.0,1.0,0.9986563821241004
0.028000000000000018,0.9992799029804668,0.0,-0.0004028588261832334,0.02451695979274333,-0.0004028588261832334,-0.02451695979274333,0.0007200970195360999,0.0,1.0,0.9985598059609664
